% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 99.08    0.200775        2952        68           munmap
  0.43    0.000879          10        81           mmap
  0.20    0.000402         402         1           execve
  0.07    0.000141          35         4           openat
  0.03    0.000062          12         5           read
  0.03    0.000062          12         5           mprotect
  0.02    0.000046          23         2           lseek
  0.01    0.000028          28         1           write
  0.01    0.000028           5         5           rt_sigaction
  0.01    0.000027           6         4           close
  0.01    0.000026           6         4           fstat
  0.01    0.000022           7         3           brk
  0.01    0.000020          10         2           rt_sigprocmask
  0.01    0.000019           6         3           getpid
  0.01    0.000016           5         3           sigaltstack
  0.01    0.000015           7         2           pread64
  0.01    0.000013           6         2           getrandom
  0.01    0.000011           5         2           prlimit64
  0.00    0.000008           8         1         1 access
  0.00    0.000008           8         1           sched_getaffinity
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000006           6         1           gettid
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000005           5         1           poll
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.202639         988       205         1 total
