% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 94.89    0.004515        1128         4           munmap
  1.05    0.000050           2        17           mmap
  0.84    0.000040           8         5           read
  0.63    0.000030          15         2           lseek
  0.55    0.000026          26         1           write
  0.34    0.000016           3         5           rt_sigaction
  0.29    0.000014           7         2           rt_sigprocmask
  0.29    0.000014           4         3           sigaltstack
  0.27    0.000013           4         3           getpid
  0.25    0.000012           3         4           fstat
  0.17    0.000008           1         5           mprotect
  0.13    0.000006           1         4           close
  0.11    0.000005           5         1           sched_getaffinity
  0.11    0.000005           2         2           getrandom
  0.08    0.000004           4         1           gettid
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         4           openat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.004758          61        77         1 total
