% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 38.17    0.000400         400         1           execve
 15.84    0.000166          11        15           mmap
 11.83    0.000124          31         4           openat
  5.63    0.000059          11         5           mprotect
  5.53    0.000058          11         5           read
  3.05    0.000032          16         2           lseek
  2.19    0.000023           5         4           fstat
  1.91    0.000020           5         4           close
  1.91    0.000020           4         5           rt_sigaction
  1.72    0.000018           9         2           rt_sigprocmask
  1.53    0.000016           8         2           munmap
  1.53    0.000016           5         3           brk
  1.53    0.000016           5         3           getpid
  1.24    0.000013           6         2           getrandom
  0.86    0.000009           4         2           prlimit64
  0.76    0.000008           4         2           pread64
  0.76    0.000008           8         1         1 access
  0.67    0.000007           2         3           sigaltstack
  0.57    0.000006           6         1           poll
  0.57    0.000006           6         1           set_tid_address
  0.48    0.000005           5         1           sched_getaffinity
  0.48    0.000005           5         1           set_robust_list
  0.48    0.000005           5         1           rseq
  0.38    0.000004           4         1           arch_prctl
  0.38    0.000004           4         1           gettid
  0.00    0.000000           0         1           write
------ ----------- ----------- --------- --------- ------------------
100.00    0.001048          14        73         1 total
