% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 27.00    0.000189          12        15           mmap
 18.86    0.000132          33         4           openat
  9.57    0.000067          13         5           read
  8.00    0.000056          11         5           mprotect
  5.43    0.000038          19         2           lseek
  4.00    0.000028           7         4           close
  3.86    0.000027           6         4           fstat
  3.29    0.000023           4         5           rt_sigaction
  2.57    0.000018           6         3           getpid
  2.14    0.000015           7         2           munmap
  2.00    0.000014           4         3           brk
  2.00    0.000014           7         2           rt_sigprocmask
  1.86    0.000013           6         2           pread64
  1.57    0.000011           5         2           getrandom
  1.43    0.000010           5         2           prlimit64
  1.29    0.000009           3         3           sigaltstack
  0.86    0.000006           6         1           arch_prctl
  0.86    0.000006           6         1           sched_getaffinity
  0.71    0.000005           5         1           poll
  0.71    0.000005           5         1           gettid
  0.71    0.000005           5         1           set_tid_address
  0.71    0.000005           5         1           rseq
  0.57    0.000004           4         1           set_robust_list
  0.00    0.000000           0         1           write
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.000700           9        73         1 total
