% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 23.73    0.000028           1        15           mmap
 19.49    0.000023           4         5           rt_sigaction
 13.56    0.000016           5         3           getpid
 11.86    0.000014           7         2           rt_sigprocmask
 10.17    0.000012           2         5           mprotect
  9.32    0.000011           3         3           sigaltstack
  5.08    0.000006           6         1           sched_getaffinity
  3.39    0.000004           4         1           gettid
  3.39    0.000004           2         2           getrandom
  0.00    0.000000           0         5           read
  0.00    0.000000           0         1           write
  0.00    0.000000           0         4           close
  0.00    0.000000           0         4           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         2           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         4           openat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.000118           1        73         1 total
