% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 35.95    0.000523         523         1           execve
 15.74    0.000229          11        20           mmap
 11.48    0.000167          41         4           openat
  7.08    0.000103          14         7           munmap
  7.01    0.000102           3        29           brk
  4.12    0.000060          12         5           mprotect
  3.85    0.000056          11         5           read
  2.27    0.000033           8         4           close
  2.13    0.000031          15         2           lseek
  1.65    0.000024           4         5           rt_sigaction
  1.51    0.000022           5         4           fstat
  1.03    0.000015           7         2           rt_sigprocmask
  0.82    0.000012           4         3           getpid
  0.76    0.000011           3         3           sigaltstack
  0.69    0.000010           5         2           getrandom
  0.62    0.000009           4         2           pread64
  0.55    0.000008           8         1         1 access
  0.55    0.000008           4         2           prlimit64
  0.41    0.000006           6         1           sched_getaffinity
  0.34    0.000005           5         1           poll
  0.34    0.000005           5         1           gettid
  0.27    0.000004           4         1           arch_prctl
  0.27    0.000004           4         1           set_tid_address
  0.27    0.000004           4         1           set_robust_list
  0.27    0.000004           4         1           rseq
  0.00    0.000000           0         8           write
------ ----------- ----------- --------- --------- ------------------
100.00    0.001455          12       116         1 total
