% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 20.61    0.000222          10        22           mmap
 16.81    0.000181          45         4           openat
 13.09    0.000141          15         9           munmap
 11.14    0.000120           3        38           brk
  6.87    0.000074          14         5           read
  6.13    0.000066          13         5           mprotect
  3.44    0.000037          18         2           lseek
  2.79    0.000030           7         4           close
  2.69    0.000029           5         5           rt_sigaction
  2.51    0.000027           6         4           fstat
  1.86    0.000020           2         8           write
  1.76    0.000019           6         3           getpid
  1.49    0.000016           8         2           pread64
  1.30    0.000014           7         2           rt_sigprocmask
  1.21    0.000013           6         2           getrandom
  1.11    0.000012           4         3           sigaltstack
  1.02    0.000011           5         2           prlimit64
  0.74    0.000008           8         1         1 access
  0.65    0.000007           7         1           sched_getaffinity
  0.65    0.000007           7         1           set_tid_address
  0.56    0.000006           6         1           poll
  0.46    0.000005           5         1           gettid
  0.37    0.000004           4         1           arch_prctl
  0.37    0.000004           4         1           set_robust_list
  0.37    0.000004           4         1           rseq
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.001077           8       129         1 total
