% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 38.53    0.172947           9     18750           sendto
 26.51    0.118993           3     37550     18750 recvfrom
 26.03    0.116839          14      8193         1 epoll_wait
  4.02    0.018058          21       829           read
  2.86    0.012834          15       825           openat
  1.26    0.005642           6       877           close
  0.22    0.001001          10       100        50 shutdown
  0.11    0.000511          10        49           madvise
  0.11    0.000504           3       151           epoll_ctl
  0.07    0.000336         336         1           execve
  0.07    0.000300           5        53         3 accept4
  0.06    0.000255          11        22           mmap
  0.03    0.000151           2        51           setsockopt
  0.01    0.000062          10         6           mprotect
  0.01    0.000056          11         5           write
  0.01    0.000035          17         2           lseek
  0.01    0.000031          15         2           open
  0.01    0.000029           5         5           fstat
  0.01    0.000026           5         5           rt_sigaction
  0.00    0.000022           5         4           getpid
  0.00    0.000022           7         3           prctl
  0.00    0.000019          19         1           listen
  0.00    0.000017           5         3           brk
  0.00    0.000016          16         1           socket
  0.00    0.000016           5         3           getrandom
  0.00    0.000015          15         1           munmap
  0.00    0.000014           7         2           rt_sigprocmask
  0.00    0.000014          14         1           bind
  0.00    0.000013          13         1           epoll_create1
  0.00    0.000011          11         1         1 access
  0.00    0.000010           5         2           pread64
  0.00    0.000009           9         1           sysinfo
  0.00    0.000008           4         2           sigaltstack
  0.00    0.000008           4         2           prlimit64
  0.00    0.000006           6         1           poll
  0.00    0.000006           6         1           sched_getaffinity
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000005           5         1           rseq
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000003           3         1           gettid
------ ----------- ----------- --------- --------- ------------------
100.00    0.448859           6     67511     18805 total
