% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 39.07    0.175446           9     18754           sendto
 31.45    0.141232          12     11439         1 epoll_wait
 16.76    0.075246           4     18808           recvfrom
  5.67    0.025464          22      1128           read
  3.94    0.017690          15      1124           openat
  1.80    0.008085           6      1234           close
  0.38    0.001689          15       108        54 shutdown
  0.15    0.000695           6       110           epoll_ctl
  0.15    0.000674          11        59         5 accept4
  0.14    0.000647           5       109           setsockopt
  0.11    0.000483          12        40           madvise
  0.06    0.000288           5        54           fcntl
  0.06    0.000277           5        54           ioctl
  0.03    0.000149          29         5           write
  0.03    0.000139          13        10           mprotect
  0.02    0.000111           3        28           mmap
  0.02    0.000109          27         4           munmap
  0.02    0.000102          20         5           prctl
  0.02    0.000079          39         2           clone3
  0.02    0.000073          24         3           gettid
  0.02    0.000070          11         6           sigaltstack
  0.01    0.000065           7         9           rt_sigprocmask
  0.01    0.000048          16         3           sched_getaffinity
  0.01    0.000043          43         1           bind
  0.01    0.000042           8         5           getrandom
  0.01    0.000040          20         2         2 access
  0.01    0.000033          33         1           socket
  0.01    0.000028           9         3           set_robust_list
  0.01    0.000023          23         1           listen
  0.00    0.000013           4         3           rseq
  0.00    0.000000           0         2           open
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         6           rt_sigaction
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         4           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    0.449083           8     53145        62 total
