% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 51.91    0.247644          13     18751           sendto
 22.26    0.106193           5     18802           recvfrom
 18.44    0.087961          13      6361         1 epoll_wait
  3.12    0.014879          23       621           read
  2.25    0.010729          17       617           openat
  1.02    0.004845           6       721           close
  0.25    0.001213          11       102        51 shutdown
  0.12    0.000587           5       104           epoll_ctl
  0.12    0.000551           5       103           setsockopt
  0.11    0.000537          10        53         2 accept4
  0.05    0.000256           5        51           fcntl
  0.05    0.000247           4        51           ioctl
  0.04    0.000179          35         5           write
  0.04    0.000176           6        28           mmap
  0.03    0.000141          70         2           clone3
  0.03    0.000132          13        10           mprotect
  0.02    0.000095          23         4           munmap
  0.02    0.000093          10         9           rt_sigprocmask
  0.02    0.000081          40         2         2 access
  0.02    0.000079          15         5           prctl
  0.01    0.000069          11         6           sigaltstack
  0.01    0.000051          51         1           bind
  0.01    0.000049          16         3           sched_getaffinity
  0.01    0.000047          47         1           socket
  0.01    0.000043          14         3           set_robust_list
  0.01    0.000031          10         3           rseq
  0.01    0.000026          26         1           listen
  0.01    0.000026           5         5           getrandom
  0.01    0.000024           8         3           madvise
  0.00    0.000018           4         4           getpid
  0.00    0.000018           6         3           gettid
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000007           7         1           eventfd2
  0.00    0.000004           0         6           rt_sigaction
  0.00    0.000000           0         2           open
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    0.477040          10     46464        56 total
