% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 39.37    0.186808           9     18751           sendto
 31.65    0.150143          12     11649         1 epoll_wait
 16.38    0.077714           4     18802           recvfrom
  5.63    0.026735          23      1161           read
  4.01    0.019014          16      1157           openat
  1.73    0.008187           6      1261           close
  0.29    0.001396          13       102        51 shutdown
  0.13    0.000602           5       104           epoll_ctl
  0.12    0.000562           5       103           setsockopt
  0.11    0.000502           9        53         2 accept4
  0.08    0.000378         378         1           execve
  0.08    0.000368          13        28           mmap
  0.05    0.000252           4        51           fcntl
  0.05    0.000249           4        51           ioctl
  0.03    0.000161          16        10           mprotect
  0.03    0.000154          77         2           clone3
  0.03    0.000143          28         5           write
  0.03    0.000123          13         9           rt_sigprocmask
  0.02    0.000106          26         4           munmap
  0.02    0.000097          16         6           sigaltstack
  0.02    0.000090          18         5           prctl
  0.02    0.000074          24         3           sched_getaffinity
  0.01    0.000064          21         3           set_robust_list
  0.01    0.000062          12         5           getrandom
  0.01    0.000052          52         1           socket
  0.01    0.000050          25         2         2 access
  0.01    0.000045          15         3           gettid
  0.01    0.000038          12         3           madvise
  0.01    0.000037          18         2           lseek
  0.01    0.000032           6         5           fstat
  0.01    0.000029           4         6           rt_sigaction
  0.01    0.000027          27         1           listen
  0.01    0.000025          12         2           open
  0.00    0.000023           7         3           rseq
  0.00    0.000018           4         4           getpid
  0.00    0.000018          18         1           bind
  0.00    0.000017           8         2           pread64
  0.00    0.000014           4         3           brk
  0.00    0.000011           5         2           prlimit64
  0.00    0.000010          10         1           epoll_create1
  0.00    0.000009           9         1           sysinfo
  0.00    0.000007           7         1           eventfd2
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000004           4         1           poll
  0.00    0.000004           4         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00    0.474460           8     53372        56 total
