% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 48.86    0.245615          13     18751           sendto
 21.80    0.109563           5     18802           recvfrom
 21.56    0.108355          16      6723         1 epoll_wait
  3.16    0.015896          24       658           read
  2.45    0.012303          18       654           openat
  1.06    0.005325           7       758           close
  0.22    0.001100          10       102        51 shutdown
  0.11    0.000576           5       104           epoll_ctl
  0.11    0.000537           5       103           setsockopt
  0.10    0.000519           9        53         2 accept4
  0.10    0.000492         492         1           execve
  0.09    0.000459          16        28           mmap
  0.05    0.000241           4        51           fcntl
  0.05    0.000233           4        51           ioctl
  0.04    0.000198          19        10           mprotect
  0.04    0.000180          36         5           write
  0.02    0.000117          58         2           clone3
  0.02    0.000091          18         5           prctl
  0.02    0.000090          22         4           munmap
  0.02    0.000083           9         9           rt_sigprocmask
  0.01    0.000074          24         3           gettid
  0.01    0.000068          11         6           sigaltstack
  0.01    0.000065          13         5           getrandom
  0.01    0.000058          58         1           socket
  0.01    0.000053          17         3           set_robust_list
  0.01    0.000045          15         3           rseq
  0.01    0.000044          22         2           open
  0.01    0.000044          22         2         2 access
  0.01    0.000043           8         5           fstat
  0.01    0.000035          35         1           listen
  0.01    0.000026           8         3           sched_getaffinity
  0.00    0.000021           7         3           madvise
  0.00    0.000019           6         3           brk
  0.00    0.000016           4         4           getpid
  0.00    0.000016          16         1           bind
  0.00    0.000016           8         2           prlimit64
  0.00    0.000015           7         2           pread64
  0.00    0.000010           1         6           rt_sigaction
  0.00    0.000010          10         1           sysinfo
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           7         1           poll
  0.00    0.000006           6         1           eventfd2
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000000           0         2           lseek
------ ----------- ----------- --------- --------- ------------------
100.00    0.502681          10     46937        56 total
