% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 42.98    0.230456          12     18751           sendto
 27.68    0.148449          12     11570         1 epoll_wait
 18.94    0.101558           5     18803           recvfrom
  4.65    0.024941          21      1141           read
  3.30    0.017700          15      1137           openat
  1.51    0.008085           6      1243           close
  0.27    0.001423          13       104        52 shutdown
  0.12    0.000629           5       106           epoll_ctl
  0.10    0.000513           4       105           setsockopt
  0.10    0.000511           9        55         3 accept4
  0.07    0.000377          13        28           mmap
  0.05    0.000248           4        52           fcntl
  0.04    0.000233           4        52           ioctl
  0.03    0.000145          14        10           mprotect
  0.02    0.000108          54         2           clone3
  0.02    0.000090          22         4           munmap
  0.01    0.000068          13         5           write
  0.01    0.000065          10         6           sigaltstack
  0.01    0.000056          11         5           prctl
  0.01    0.000052           5         9           rt_sigprocmask
  0.01    0.000043          21         2           lseek
  0.01    0.000043          14         3           gettid
  0.01    0.000041          13         3           set_robust_list
  0.01    0.000040          20         2         2 access
  0.01    0.000035          11         3           sched_getaffinity
  0.01    0.000035          11         3           rseq
  0.01    0.000033          11         3           madvise
  0.01    0.000030           6         5           getrandom
  0.01    0.000028           4         6           rt_sigaction
  0.01    0.000027           5         5           fstat
  0.00    0.000022          11         2           open
  0.00    0.000022           5         4           getpid
  0.00    0.000022          22         1           socket
  0.00    0.000020          20         1           listen
  0.00    0.000016          16         1           bind
  0.00    0.000015           5         3           brk
  0.00    0.000010           5         2           pread64
  0.00    0.000008           8         1           sysinfo
  0.00    0.000008           8         1           set_tid_address
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           7         1           arch_prctl
  0.00    0.000007           7         1           eventfd2
  0.00    0.000007           3         2           prlimit64
  0.00    0.000003           3         1           poll
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.536237          10     53246        58 total
