% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 55.39    0.342900          18     18751           sendto
 23.43    0.145054           7     18803           recvfrom
 15.04    0.093135          15      6108         1 epoll_wait
  2.31    0.014315          23       602           read
  1.76    0.010894          18       598           openat
  0.80    0.004979           7       704           close
  0.30    0.001839          17       104        52 shutdown
  0.12    0.000726           6       106           epoll_ctl
  0.12    0.000721         721         1           execve
  0.10    0.000618          11        55         3 accept4
  0.10    0.000606           5       105           setsockopt
  0.09    0.000539          19        28           mmap
  0.05    0.000301           5        52           ioctl
  0.05    0.000291           5        52           fcntl
  0.04    0.000242         121         2           clone3
  0.04    0.000229          22        10           mprotect
  0.04    0.000225          45         5           write
  0.03    0.000196          49         4           munmap
  0.02    0.000126          14         9           rt_sigprocmask
  0.02    0.000125          25         5           getrandom
  0.02    0.000110          55         2         2 access
  0.02    0.000095          19         5           prctl
  0.01    0.000084          28         3           gettid
  0.01    0.000076          76         1           socket
  0.01    0.000070          23         3           set_robust_list
  0.01    0.000062          20         3           sched_getaffinity
  0.01    0.000055          55         1           bind
  0.01    0.000054          18         3           rseq
  0.01    0.000052          17         3           madvise
  0.01    0.000050          25         2           lseek
  0.01    0.000049          49         1           listen
  0.01    0.000043          21         2           open
  0.01    0.000043           8         5           fstat
  0.01    0.000040           6         6           rt_sigaction
  0.00    0.000030          10         3           brk
  0.00    0.000022           5         4           getpid
  0.00    0.000017           8         2           prlimit64
  0.00    0.000015          15         1           epoll_create1
  0.00    0.000014          14         1           sysinfo
  0.00    0.000011           1         6           sigaltstack
  0.00    0.000011          11         1           eventfd2
  0.00    0.000010           5         2           pread64
  0.00    0.000007           7         1           poll
  0.00    0.000007           7         1           arch_prctl
  0.00    0.000007           7         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00    0.619095          13     46167        58 total
