% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 52.41    0.048842          10      4689           sendto
 24.00    0.022368           4      4891           recvfrom
  6.39    0.005951          14       404       202 shutdown
  2.86    0.002663           6       416           close
  2.44    0.002272           5       406           epoll_ctl
  2.04    0.001898          36        52         1 epoll_wait
  1.96    0.001831           8       207         5 accept4
  1.94    0.001811           4       405           setsockopt
  0.90    0.000836           4       202           ioctl
  0.88    0.000817           4       202           fcntl
  0.51    0.000476          17        28           mmap
  0.45    0.000416          41        10           mprotect
  0.45    0.000415         415         1           execve
  0.42    0.000393          78         5           write
  0.33    0.000311         103         3           sched_getaffinity
  0.27    0.000251          27         9           rt_sigprocmask
  0.26    0.000242          24        10           openat
  0.23    0.000217          43         5           munmap
  0.23    0.000214          15        14           read
  0.14    0.000134          67         2           clone3
  0.12    0.000116          23         5           prctl
  0.08    0.000077          25         3           rseq
  0.08    0.000074          24         3           gettid
  0.07    0.000061          20         3         3 access
  0.06    0.000058          19         3           set_robust_list
  0.06    0.000055           9         6           sigaltstack
  0.05    0.000048          48         1           listen
  0.05    0.000042          21         2           lseek
  0.04    0.000035          35         1           bind
  0.04    0.000035           7         5           getrandom
  0.03    0.000029          14         2           open
  0.03    0.000028           5         5           fstat
  0.03    0.000028           4         6           rt_sigaction
  0.03    0.000024           8         3           madvise
  0.02    0.000020          20         1           socket
  0.02    0.000019           6         3           brk
  0.02    0.000019           4         4           getpid
  0.01    0.000012           6         2           pread64
  0.01    0.000010           5         2           prlimit64
  0.01    0.000009           9         1           sysinfo
  0.01    0.000008           8         1           epoll_create1
  0.01    0.000007           7         1           eventfd2
  0.01    0.000006           6         1           poll
  0.01    0.000005           5         1           arch_prctl
  0.01    0.000005           5         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00    0.093188           7     12027       211 total
