% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 52.86    0.043869           9      4689           sendto
 22.73    0.018863           3      4891           recvfrom
  6.86    0.005693          14       404       202 shutdown
  3.49    0.002897           6       417           close
  2.85    0.002363           5       406           epoll_ctl
  2.23    0.001852           4       405           setsockopt
  2.20    0.001825           8       208         6 accept4
  2.14    0.001777          32        54         1 epoll_wait
  1.01    0.000841           4       202           fcntl
  1.01    0.000838           4       202           ioctl
  0.45    0.000377          13        28           mmap
  0.26    0.000219          14        15           read
  0.23    0.000187          37         5           write
  0.19    0.000161          80         2           clone3
  0.19    0.000160          16        10           mprotect
  0.18    0.000147          36         4           munmap
  0.15    0.000127          11        11           openat
  0.10    0.000084           9         9           rt_sigprocmask
  0.08    0.000068          11         6           sigaltstack
  0.08    0.000063          31         2         2 access
  0.06    0.000051          10         5           prctl
  0.06    0.000049           9         5           getrandom
  0.05    0.000045          15         3           gettid
  0.05    0.000042          21         2           lseek
  0.05    0.000040          13         3           rseq
  0.04    0.000037          12         3           set_robust_list
  0.04    0.000036          36         1           bind
  0.04    0.000033          11         3           madvise
  0.04    0.000033          33         1           socket
  0.04    0.000031          15         2           open
  0.03    0.000028           9         3           sched_getaffinity
  0.03    0.000026           4         6           rt_sigaction
  0.03    0.000021          21         1           listen
  0.02    0.000017           4         4           getpid
  0.01    0.000012           6         2           pread64
  0.01    0.000011           2         5           fstat
  0.01    0.000011           3         3           brk
  0.01    0.000010          10         1           sysinfo
  0.01    0.000010           5         2           prlimit64
  0.01    0.000008           8         1           epoll_create1
  0.01    0.000007           7         1           eventfd2
  0.01    0.000005           5         1           poll
  0.01    0.000005           5         1           arch_prctl
  0.01    0.000005           5         1           set_tid_address
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.082984           6     12031       211 total
