% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 36.06    0.112650          14      7799           epoll_wait
 30.40    0.094987          15      6250           sendto
 20.15    0.062959           5     12550      6250 recvfrom
  5.81    0.018168          22       793           read
  4.07    0.012723          16       789           openat
  1.97    0.006149           7       841           close
  0.55    0.001715          17       100        50 shutdown
  0.30    0.000944           6       151           epoll_ctl
  0.29    0.000906           9        99           madvise
  0.19    0.000595          11        54         4 accept4
  0.09    0.000292           5        51           setsockopt
  0.02    0.000048           9         5           write
  0.01    0.000039           1        22           mmap
  0.01    0.000033          16         2           lseek
  0.01    0.000030          10         3           prctl
  0.01    0.000029          14         2           open
  0.01    0.000021          21         1           sysinfo
  0.01    0.000018           3         5           rt_sigaction
  0.01    0.000018           4         4           getpid
  0.01    0.000017          17         1           socket
  0.00    0.000014          14         1           bind
  0.00    0.000011           5         2           rt_sigprocmask
  0.00    0.000011           3         3           getrandom
  0.00    0.000010           3         3           brk
  0.00    0.000009           4         2           sigaltstack
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           7         1           listen
  0.00    0.000006           1         6           mprotect
  0.00    0.000005           5         1           poll
  0.00    0.000005           5         1           sched_getaffinity
  0.00    0.000004           4         1           gettid
  0.00    0.000004           2         2           prlimit64
  0.00    0.000003           0         5           fstat
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.312438          10     29560      6305 total
