# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 16406672694
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     4.66%  frankenredis  [vdso]            [.] 0x0000000000000983                                                                                                          -      -            
            |          
            |--0.80%--<fr_store::Store>::drop_if_expired
            |          
            |--0.57%--__memcmp_avx2_movbe
            |          
             --0.51%--0x7980a6fa9986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate

     2.87%  frankenredis  [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     2.21%  frankenredis  [vdso]            [.] 0x0000000000000937                                                                                                          -      -            
     1.28%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate                                               -      -            
     1.23%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames                                                                                       -      -            
     1.06%  fr-writer-1   [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     0.96%  frankenredis  frankenredis      [.] <fr_store::Store>::get_string_bytes                                                                                         -      -            
     0.94%  fr-writer-0   [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     0.74%  frankenredis  frankenredis      [.] fr_protocol::encode_bulk_string_slice                                                                                       -      -            
     0.64%  frankenredis  [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.63%  fr-writer-0   [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.61%  frankenredis  frankenredis      [.] frankenredis::drain_writer_completions                                                                                      -      -            
     0.57%  frankenredis  [unknown]         [k] 0xffffffff85835fd6                                                                                                          -      -            
     0.54%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                              -      -            
     0.53%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a                                                                                                          -      -            
     0.53%  fr-writer-1   [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.50%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, foldhash::quality::RandomState>>::remove::<u64>     -      -            
     0.47%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind                                                                       -      -            
     0.46%  frankenredis  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection                                                                            -      -            
     0.44%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms                                                                                                -      -            
     0.43%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms                                                                                                -      -            
     0.42%  frankenredis  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>                                 -      -            
     0.42%  fr-writer-1   [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.41%  frankenredis  frankenredis      [.] <fr_store::Store>::drop_if_expired                                                                                          -      -            
     0.40%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates                                                                     -      -            
     0.40%  fr-writer-0   [unknown]         [k] 0xffffffff85838ed6                                                                                                          -      -            
     0.40%  fr-writer-0   [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.40%  frankenredis  [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.34%  fr-writer-1   [unknown]         [k] 0xffffffff84f87bc0                                                                                                          -      -            
     0.34%  frankenredis  frankenredis      [.] <fr_runtime::ServerState>::propagate_expired_key_deletions                                                                  -      -            
     0.34%  frankenredis  frankenredis      [.] frankenredis::handle_readable                                                                                               -      -            
     0.33%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server                                                              -      -            
     0.33%  fr-writer-1   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>                       -      -            
     0.33%  fr-writer-1   [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.31%  frankenredis  [unknown]         [k] 0xffffffff85835fc8                                                                                                          -      -            
     0.31%  frankenredis  [unknown]         [k] 0xffffffff84c00002                                                                                                          -      -            
     0.31%  frankenredis  libc.so.6         [.] __memcmp_avx2_movbe                                                                                                         -      -            
     0.30%  frankenredis  frankenredis      [.] frankenredis::drive_client_output                                                                                           -      -            
     0.30%  frankenredis  libc.so.6         [.] clock_gettime@@GLIBC_2.17                                                                                                   -      -            
     0.30%  fr-writer-0   [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
