# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 14060755418
#
# Overhead  Command       Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ............  ....................  .................................................................................................................................................................................................................................................................................................................................................................................
#
     5.31%  frankenredis  frankenredis          [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
            |          
             --0.67%--frankenredis::process_buffered_frames

     4.05%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::refresh_store_runtime_info_context
            |          
            |--0.71%--<fr_store::Store>::drop_if_expired
            |          
             --0.55%--0x7517b3924986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now

     3.00%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::execute_frame_internal
     2.47%  frankenredis  [vdso]                [.] 0x0000000000000983
     2.16%  frankenredis  frankenredis          [.] fr_protocol::parse_command_args_borrowed_into
     1.62%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::execute_dispatch
     1.58%  frankenredis  frankenredis          [.] <fr_store::Store>::internal_entries_insert
     1.55%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::dispatch_with_client_context
     1.54%  frankenredis  frankenredis          [.] mi_free
     1.49%  frankenredis  libc.so.6             [.] __memmove_avx_unaligned_erms
     1.47%  frankenredis  [unknown]             [k] 0xffffffff84d0410b
     1.37%  frankenredis  frankenredis          [.] mi_theap_malloc_aligned
     1.32%  frankenredis  frankenredis          [.] frankenredis::process_buffered_frames
     1.12%  frankenredis  libc.so.6             [.] __memcmp_avx2_movbe
     1.08%  frankenredis  frankenredis          [.] <core::str::iter::Split<core::str::IsWhitespace> as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::find::check<&str, &mut core::str::IsNotEmpty>::{closure#0}, core::ops::control_flow::ControlFlow<&str>>
     1.03%  frankenredis  frankenredis          [.] frankenredis::main
     0.97%  frankenredis  frankenredis          [.] <fr_store::Store>::update_expiry_deadline
