# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     1.45%  frankenredis      [.] <fr_runtime::Runtime>::refresh_store_runtime_info_context                                                                                                                                                                                                    -      -
     1.35%  frankenredis      [.] <fr_runtime::Runtime>::execute_frame_internal                                                                                                                                                                                                                -      -
     1.17%  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&alloc::vec::Vec<u8>>                                                                                                                                                                -      -
     0.98%  [vdso]            [.] 0x0000000000000983                                                                                                                                                                                                                                           -      -
     0.79%  frankenredis      [.] fr_protocol::parse_command_args_borrowed_into                                                                                                                                                                                                                -      -
     0.63%  frankenredis      [.] <fr_store::Store>::internal_entries_insert                                                                                                                                                                                                                   -      -
     0.63%  frankenredis      [.] frankenredis::process_buffered_frames                                                                                                                                                                                                                        -      -
     0.59%  frankenredis      [.] <fr_runtime::Runtime>::dispatch_with_client_context                                                                                                                                                                                                          -      -
     0.57%  frankenredis      [.] fr_command::rewrite_effect_command_for_propagation                                                                                                                                                                                                           -      -
     0.54%  frankenredis      [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write                                                                                                                                                                         -      -
     0.49%  frankenredis      [.] <core::str::iter::Split<core::str::IsWhitespace> as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::find::check<&str, &mut core::str::IsNotEmpty>::{closure#0}, core::ops::control_flow::ControlFlow<&str>>  -      -
     0.46%  frankenredis      [.] frankenredis::process_argv_frame                                                                                                                                                                                                                             -      -
     0.45%  [unknown]         [k] 0xffffffff84c001bd                                                                                                                                                                                                                                           -      -
     0.44%  libc.so.6         [.] __memcmp_avx2_movbe                                                                                                                                                                                                                                          -      -
     0.41%  frankenredis      [.] fr_command::command_table_index                                                                                                                                                                                                                              -      -
     0.38%  frankenredis      [.] <core::str::lossy::Utf8Chunks as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                               -      -
     0.38%  frankenredis      [.] mi_free                                                                                                                                                                                                                                                      -      -
     0.38%  frankenredis      [.] core::str::converts::from_utf8                                                                                                                                                                                                                               -      -
     0.38%  frankenredis      [.] <fr_runtime::Runtime>::execute_dispatch                                                                                                                                                                                                                      -      -
     0.36%  frankenredis      [.] fr_command::classify_command                                                                                                                                                                                                                                 -      -
     0.34%  frankenredis      [.] fr_runtime::canonical_command_fullname                                                                                                                                                                                                                       -      -
     0.33%  frankenredis      [.] fr_command::command_key_indexes                                                                                                                                                                                                                              -      -
     0.32%  [unknown]         [k] 0xffffffff84d0410b                                                                                                                                                                                                                                           -      -
     0.31%  frankenredis      [.] mi_theap_malloc_zero_aligned_at_overalloc                                                                                                                                                                                                                    -      -
     0.30%  frankenredis      [.] fr_runtime::push_ascii_lowercase_lossy                                                                                                                                                                                                                       -      -
     0.30%  frankenredis      [.] <alloc::vec::Vec<u8> as core::clone::Clone>::clone                                                                                                                                                                                                           -      -
