% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 50.34    0.288604          13     21240         1 epoll_wait
 22.12    0.126802          10     12501           sendto
  9.44    0.054114           4     12552           recvfrom
  8.49    0.048676          22      2119           read
  5.97    0.034251          16      2115           openat
  2.54    0.014558           6      2219           close
  0.19    0.001082          10       102        51 shutdown
  0.12    0.000671          12        53         2 accept4
  0.12    0.000666           6       103           setsockopt
  0.11    0.000655           6       104           epoll_ctl
  0.08    0.000475          16        28           mmap
  0.07    0.000381         127         3           rseq
  0.06    0.000366         366         1           execve
  0.05    0.000303           5        51           ioctl
  0.05    0.000293           5        51           fcntl
  0.04    0.000232           3        62           madvise
  0.03    0.000191          63         3           sched_getaffinity
  0.03    0.000163          81         2           clone3
  0.02    0.000136          15         9           rt_sigprocmask
  0.02    0.000089          17         5           prctl
  0.01    0.000083          16         5           write
  0.01    0.000066          16         4           munmap
  0.01    0.000065           6        10           mprotect
  0.01    0.000041          13         3           set_robust_list
  0.01    0.000040          40         1           socket
  0.01    0.000036           6         6           sigaltstack
  0.01    0.000035           7         5           fstat
  0.01    0.000035           5         6           rt_sigaction
  0.01    0.000034           8         4           getpid
  0.01    0.000033          33         1           bind
  0.01    0.000032           6         5           getrandom
  0.01    0.000029          14         2         2 access
  0.00    0.000027           9         3           gettid
  0.00    0.000023          11         2           lseek
  0.00    0.000017           8         2           pread64
  0.00    0.000015          15         1           epoll_create1
  0.00    0.000013          13         1           eventfd2
  0.00    0.000012          12         1           listen
  0.00    0.000006           2         3           brk
  0.00    0.000000           0         2           open
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    0.573350          10     53396        56 total
