% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 47.50    0.235473          12     18751           sendto
 23.58    0.116884          13      8720         1 epoll_wait
 19.78    0.098038           5     18802           recvfrom
  4.04    0.020040          23       859           read
  2.83    0.014007          16       855           openat
  1.27    0.006278           6       959           close
  0.26    0.001267          12       102        51 shutdown
  0.13    0.000627           6       104           epoll_ctl
  0.11    0.000531           5       103           setsockopt
  0.10    0.000517           9        53         2 accept4
  0.08    0.000401         401         1           execve
  0.05    0.000245           4        51           ioctl
  0.04    0.000222           4        51           fcntl
  0.04    0.000198           7        28           mmap
  0.02    0.000114          28         4           munmap
  0.02    0.000099          11         9           rt_sigprocmask
  0.02    0.000096           9        10           mprotect
  0.02    0.000088          44         2           clone3
  0.02    0.000075          15         5           write
  0.01    0.000063          31         2         2 access
  0.01    0.000058           9         6           sigaltstack
  0.01    0.000056          11         5           getrandom
  0.01    0.000054          18         3           sched_getaffinity
  0.01    0.000049           9         5           prctl
  0.01    0.000047          15         3           set_robust_list
  0.01    0.000042          42         1           socket
  0.01    0.000042          42         1           listen
  0.01    0.000039          13         3           gettid
  0.01    0.000035          35         1           bind
  0.01    0.000026           8         3           rseq
  0.00    0.000022           7         3           madvise
  0.00    0.000013           2         5           fstat
  0.00    0.000007           2         3           brk
  0.00    0.000000           0         2           open
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         6           rt_sigaction
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         4           getpid
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    0.495753          10     49537        56 total
