% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 37.49    0.169812           9     18751           sendto
 32.46    0.147014          11     12273         1 epoll_wait
 16.76    0.075884           4     18802           recvfrom
  6.08    0.027537          22      1216           read
  4.12    0.018672          15      1212           openat
  1.88    0.008498           6      1316           close
  0.27    0.001203          11       102        51 shutdown
  0.15    0.000669           6       104           epoll_ctl
  0.14    0.000622          88         7           madvise
  0.13    0.000585           5       103           setsockopt
  0.13    0.000585          11        53         2 accept4
  0.06    0.000267           5        51           fcntl
  0.06    0.000266           5        51           ioctl
  0.05    0.000204           7        28           mmap
  0.04    0.000169          16        10           mprotect
  0.03    0.000154          30         5           write
  0.02    0.000077          19         4           munmap
  0.02    0.000077          12         6           sigaltstack
  0.02    0.000069          34         2           clone3
  0.02    0.000068          13         5           prctl
  0.01    0.000056          11         5           getrandom
  0.01    0.000049          16         3           sched_getaffinity
  0.01    0.000047           5         9           rt_sigprocmask
  0.01    0.000038          12         3           gettid
  0.01    0.000036          18         2           open
  0.01    0.000029          14         2         2 access
  0.01    0.000029           9         3           set_robust_list
  0.00    0.000022          11         2           lseek
  0.00    0.000022           7         3           rseq
  0.00    0.000018           3         6           rt_sigaction
  0.00    0.000016          16         1           socket
  0.00    0.000013           4         3           brk
  0.00    0.000012           2         5           fstat
  0.00    0.000012          12         1           bind
  0.00    0.000012           6         2           prlimit64
  0.00    0.000011          11         1           sysinfo
  0.00    0.000010           5         2           pread64
  0.00    0.000009           2         4           getpid
  0.00    0.000006           6         1           poll
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000004           4         1           eventfd2
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.452896           8     54165        56 total
