% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 45.91    0.184778          12     14931         1 epoll_wait
 25.29    0.101764           8     12500           sendto
 11.20    0.045073           3     12550           recvfrom
  7.82    0.031475          21      1492           read
  5.84    0.023502          15      1488           openat
  2.41    0.009697           6      1590           close
  0.33    0.001330          13       100        50 shutdown
  0.18    0.000721           7       102           epoll_ctl
  0.16    0.000648          12        51         1 accept4
  0.15    0.000599           5       101           setsockopt
  0.11    0.000449          16        28           mmap
  0.10    0.000398          18        22           madvise
  0.07    0.000278           5        50           fcntl
  0.07    0.000273           5        50           ioctl
  0.04    0.000173          86         2           clone3
  0.04    0.000168          16        10           mprotect
  0.03    0.000136          34         4           munmap
  0.03    0.000108          21         5           write
  0.03    0.000105          11         9           rt_sigprocmask
  0.02    0.000077          15         5           prctl
  0.02    0.000070          11         6           sigaltstack
  0.02    0.000070          23         3           sched_getaffinity
  0.02    0.000065          21         3           set_robust_list
  0.01    0.000060          12         5           getrandom
  0.01    0.000051          25         2         2 access
  0.01    0.000050          16         3           gettid
  0.01    0.000041          20         2           lseek
  0.01    0.000038          38         1           bind
  0.01    0.000032          32         1           listen
  0.01    0.000031          10         3           rseq
  0.01    0.000030          15         2           open
  0.01    0.000029           5         5           fstat
  0.01    0.000027           4         6           rt_sigaction
  0.01    0.000022           5         4           getpid
  0.00    0.000014          14         1           socket
  0.00    0.000011           3         3           brk
  0.00    0.000011           5         2           pread64
  0.00    0.000010          10         1           epoll_create1
  0.00    0.000010           5         2           prlimit64
  0.00    0.000009           9         1           sysinfo
  0.00    0.000007           7         1           eventfd2
  0.00    0.000005           5         1           poll
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.402454           8     45151        54 total
