% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 49.30    0.245841           9     25004           sendto
 21.37    0.106594           4     25058           recvfrom
 20.96    0.104516          12      8322         1 epoll_wait
  3.64    0.018154          22       811           read
  2.61    0.013024          16       807           openat
  1.19    0.005919           6       917           close
  0.26    0.001289          11       108        54 shutdown
  0.11    0.000568           5       110           epoll_ctl
  0.11    0.000538           4       109           setsockopt
  0.11    0.000528           8        59         5 accept4
  0.07    0.000351          12        28           mmap
  0.06    0.000298         298         1           execve
  0.05    0.000236           4        54           fcntl
  0.05    0.000231           4        54           ioctl
  0.04    0.000191          38         5           write
  0.03    0.000161          80         2           clone3
  0.01    0.000063          63         1           bind
  0.01    0.000038          19         2           lseek
  0.01    0.000038          38         1           socket
  0.01    0.000038          38         1           listen
  0.01    0.000036           7         5           fstat
  0.01    0.000028          14         2           open
  0.00    0.000010          10         1           epoll_create1
  0.00    0.000009           4         2           pread64
  0.00    0.000007           7         1           eventfd2
  0.00    0.000005           5         1           poll
------ ----------- ----------- --------- --------- ----------------
100.00    0.498711           8     61466        60 total
