 
TTL k: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                             
TTL k: rps=884589.7 (overall: 884589.7) avg_msec=0.513 (overall: 0.513)
                                                                        
TTL k: rps=738422.4 (overall: 811506.0) avg_msec=0.597 (overall: 0.551)
                                                                        
TTL k: rps=713536.0 (overall: 778936.2) avg_msec=0.584 (overall: 0.561)
                                                                        
TTL k: rps=765960.2 (overall: 775688.9) avg_msec=0.619 (overall: 0.576)
                                                                        
TTL k: rps=766464.0 (overall: 773848.4) avg_msec=0.625 (overall: 0.585)
                                                                        
TTL k: rps=819008.0 (overall: 781359.9) avg_msec=0.711 (overall: 0.607)
                                                                        
TTL k: rps=881083.7 (overall: 795630.6) avg_msec=0.641 (overall: 0.613)
                                                                        
TTL k: rps=861760.0 (overall: 803880.2) avg_msec=0.556 (overall: 0.605)
                                                                        
TTL k: rps=910528.0 (overall: 815709.0) avg_msec=0.646 (overall: 0.610)
                                                                        
TTL k: 809388.94 requests per second, p50=0.583 msec
