# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'instructions:u'
# Event count (approx.): 4097430879
#
# Overhead  Symbol                                                                                                                            Shared Object     IPC   [IPC Coverage]
# ........  ................................................................................................................................  ................  ....................
#
     7.66%  [.] frankenredis::try_dispatch_floor_classified_action                                                                            frankenredis      -      -            
     5.91%  [.] <fr_runtime::Runtime>::execute_plain_keymeta_borrowed                                                                         frankenredis      -      -            
     5.67%  [.] frankenredis::process_buffered_frames                                                                                         frankenredis      -      -            
     5.07%  [.] 0x0000000000000986                                                                                                            [vdso]            -      -            
     4.97%  [.] <hashbrown::map::HashMap<alloc::string::String, fr_store::CommandHistogram, foldhash::quality::RandomState>>::get_mut::<str>  frankenredis      -      -            
     4.68%  [.] __memmove_avx_unaligned_erms                                                                                                  libc.so.6         -      -            
     4.46%  [.] <hashbrown::map::HashMap<alloc::boxed::Box<[u8]>, fr_store::Entry, foldhash::quality::RandomState>>::get_mut::<[u8]>          frankenredis      -      -            
     3.82%  [.] <fr_runtime::Runtime>::plain_borrowed_default_key_read_allows                                                                 frankenredis      -      -            
     2.53%  [.] __memcmp_avx2_movbe                                                                                                           libc.so.6         -      -            
     2.14%  [.] <fr_protocol::RespFrame>::encode_into                                                                                         frankenredis      -      -            
     1.94%  [.] <fr_runtime::ServerState>::run_active_expire_cycle                                                                            frankenredis      -      -            
     1.79%  [.] <[u8] as core::hash::Hash>::hash::<foldhash::quality::FoldHasher>                                                             frankenredis      -      -            
     1.74%  [.] frankenredis::parse_borrowed_plain_set_bulk                                                                                   frankenredis      -      -            
     1.74%  [.] frankenredis::parse_borrowed_plain_ttl_packet                                                                                 frankenredis      -      -            
     1.67%  [.] <fr_runtime::Runtime>::record_plain_keymeta_borrowed_metrics                                                                  frankenredis      -      -            
     1.48%  [.] <fr_runtime::ClientSession as core::clone::Clone>::clone                                                                      frankenredis      -      -            
     1.47%  [.] frankenredis::parse_borrowed_dispatch_floor_decimal                                                                           frankenredis      -      -            
     1.44%  [.] <fr_runtime::Runtime>::drain_pending_pubsub                                                                                   frankenredis      -      -            
     1.29%  [.] <fr_runtime::Runtime>::is_pubsub_client                                                                                       frankenredis      -      -            
