# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'instructions:u'
# Event count (approx.): 6357392512
#
# Overhead  Command       Shared Object     Symbol                                   
# ........  ............  ................  .........................................
#
    12.67%  redis-server  [vdso]            [.] 0x0000000000000ebc
     6.54%  redis-server  redis-server      [.] call
     5.83%  redis-server  redis-server      [.] je_malloc_usable_size
     3.89%  redis-server  libc.so.6         [.] __strcasecmp_l_avx2
     3.67%  redis-server  redis-server      [.] processMultibulkBuffer
     3.47%  redis-server  redis-server      [.] processCommand
     2.92%  redis-server  libc.so.6         [.] __strchr_avx2
     2.68%  redis-server  redis-server      [.] je_free
     2.32%  redis-server  redis-server      [.] je_malloc
     1.71%  redis-server  redis-server      [.] processInputBuffer
     1.57%  redis-server  redis-server      [.] zmalloc
     1.55%  redis-server  redis-server      [.] ACLCheckAllUserCommandPerm
     1.50%  redis-server  redis-server      [.] decrRefCount.part.0
     1.48%  redis-server  redis-server      [.] resetClient
     1.46%  redis-server  [vdso]            [.] 0x0000000000000986
     1.33%  redis-server  redis-server      [.] zfree
     1.17%  redis-server  redis-server      [.] siphash_nocase
     1.15%  redis-server  redis-server      [.] dictFind
     0.99%  redis-server  redis-server      [.] _addReplyToBufferOrList
     0.99%  redis-server  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.98%  redis-server  redis-server      [.] addReplyLongLongWithPrefix
     0.96%  redis-server  redis-server      [.] hdr_record_values
     0.93%  redis-server  redis-server      [.] ttlCommand
     0.88%  redis-server  redis-server      [.] prepareClientToWrite
     0.86%  redis-server  redis-server      [.] siphash
     0.78%  redis-server  redis-server      [.] moduleCallCommandFilters
     0.74%  redis-server  redis-server      [.] counts_index_for
     0.69%  redis-server  redis-server      [.] createEmbeddedStringObject
     0.59%  redis-server  [vdso]            [.] 0x0000000000000eca
     0.59%  redis-server  redis-server      [.] firePostExecutionUnitJobs
     0.58%  redis-server  redis-server      [.] get_bucket_index
     0.58%  redis-server  [vdso]            [.] 0x0000000000000eeb
     0.52%  redis-server  [vdso]            [.] 0x0000000000000eee
     0.52%  redis-server  [vdso]            [.] 0x0000000000000f27
     0.51%  redis-server  redis-server      [.] dictSdsHash
     0.49%  redis-server  [unknown]         [k] 0xffffffffb0a3caad
     0.47%  redis-server  redis-server      [.] aeMain
     0.46%  redis-server  redis-server      [.] getCommandFlags
     0.46%  redis-server  redis-server      [.] dictSdsKeyCompare
     0.45%  redis-server  redis-server      [.] string2ll.part.0
     0.41%  redis-server  redis-server      [.] lookupCommandLogic
     0.40%  redis-server  redis-server      [.] dictSdsKeyCaseCompare
     0.40%  redis-server  redis-server      [.] afterCommand
     0.35%  redis-server  redis-server      [.] clientHasPendingReplies
     0.34%  redis-server  [unknown]         [k] 0xffffffffb0a31a24
     0.34%  redis-server  [unknown]         [k] 0xffffffffaf704104
     0.30%  redis-server  [unknown]         [k] 0xffffffffb012a661
