 
RPUSH: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                             
RPUSH: rps=932908.4 (overall: 932908.4) avg_msec=0.554 (overall: 0.554)
                                                                        
RPUSH: rps=915584.0 (overall: 924263.5) avg_msec=0.556 (overall: 0.555)
                                                                        
RPUSH: rps=967424.0 (overall: 938631.2) avg_msec=0.500 (overall: 0.536)
                                                                        
RPUSH: rps=1021067.8 (overall: 959281.4) avg_msec=0.433 (overall: 0.508)
                                                                         
RPUSH: rps=959552.0 (overall: 959335.5) avg_msec=0.552 (overall: 0.517)
                                                                        
RPUSH: rps=977912.4 (overall: 962437.8) avg_msec=0.508 (overall: 0.516)
                                                                        
RPUSH: rps=1025792.0 (overall: 971472.9) avg_msec=0.440 (overall: 0.504)
                                                                         
RPUSH: rps=1001408.0 (overall: 975209.2) avg_msec=0.450 (overall: 0.497)
                                                                         
RPUSH: rps=976191.3 (overall: 975318.6) avg_msec=0.483 (overall: 0.496)
                                                                        
RPUSH: rps=1033984.0 (overall: 981175.8) avg_msec=0.460 (overall: 0.492)
                                                                         
RPUSH: rps=1081625.5 (overall: 990327.4) avg_msec=0.389 (overall: 0.482)
                                                                         
RPUSH: rps=1071552.0 (overall: 997084.8) avg_msec=0.389 (overall: 0.473)
                                                                         
RPUSH: rps=1033664.0 (overall: 999894.3) avg_msec=0.450 (overall: 0.471)
                                                                         
RPUSH: rps=1058294.9 (overall: 1004075.3) avg_msec=0.435 (overall: 0.469)
                                                                          
RPUSH: rps=962496.0 (overall: 1001307.8) avg_msec=0.505 (overall: 0.471)
                                                                         
RPUSH: rps=977657.4 (overall: 999826.3) avg_msec=0.487 (overall: 0.472)
                                                                        
RPUSH: rps=991040.0 (overall: 999310.3) avg_msec=0.535 (overall: 0.476)
                                                                        
RPUSH: rps=985498.1 (overall: 998541.3) avg_msec=0.457 (overall: 0.475)
                                                                        
RPUSH: rps=1078464.0 (overall: 1002740.7) avg_msec=0.391 (overall: 0.470)
                                                                          
RPUSH: 998801.44 requests per second, p50=0.415 msec
