% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 80.11    1.316069      658034         2         2 futex
 12.39    0.203511          10     18751           sendto
  5.12    0.084102           4     18802           recvfrom
  1.51    0.024740          14      1765         1 epoll_wait
  0.24    0.003990          24       166           read
  0.18    0.002896          17       162           openat
  0.13    0.002120           7       266           close
  0.10    0.001645          16       102        51 shutdown
  0.05    0.000754           7       104           epoll_ctl
  0.04    0.000584          11        53         2 accept4
  0.04    0.000581           5       103           setsockopt
  0.02    0.000325         325         1           execve
  0.02    0.000312          11        28           mmap
  0.02    0.000274           5        51           ioctl
  0.02    0.000271           5        51           fcntl
  0.01    0.000143          71         2           clone3
  0.00    0.000082           9         9           rt_sigprocmask
  0.00    0.000057          19         3           rseq
  0.00    0.000056           5        10           mprotect
  0.00    0.000047           9         5           prctl
  0.00    0.000045          22         2           lseek
  0.00    0.000030           5         6           rt_sigaction
  0.00    0.000029          14         2           open
  0.00    0.000027           5         5           fstat
  0.00    0.000023           7         3           madvise
  0.00    0.000020           6         3           set_robust_list
  0.00    0.000019           4         4           getpid
  0.00    0.000018           6         3           brk
  0.00    0.000016           4         4           munmap
  0.00    0.000016           3         5           getrandom
  0.00    0.000015           7         2         2 access
  0.00    0.000010           1         6           sigaltstack
  0.00    0.000009           4         2           pread64
  0.00    0.000009           9         1           sysinfo
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000009           4         2           prlimit64
  0.00    0.000008           8         1           eventfd2
  0.00    0.000006           6         1           poll
  0.00    0.000006           2         3           sched_getaffinity
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           1         3           gettid
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000000           0         5           write
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
------ ----------- ----------- --------- --------- ------------------
100.00    1.642895          40     40505        58 total
