# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16266256465
#
# Overhead  Command       Shared Object     Symbol
# ........  ............  ................  ......................................................................................................................................................................................................
#
     3.86%  frankenredis  frankenredis      [.] fr_store::canonical_string_value_from_slice
     1.96%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_write_allows
     1.86%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames
     1.69%  frankenredis  [unknown]         [k] 0xffffffff84c001bd
     1.38%  fr-writer-1   [unknown]         [k] 0xffffffff84c001bd
     1.36%  frankenredis  [vdso]            [.] 0x0000000000000983
     1.15%  fr-writer-0   [unknown]         [k] 0xffffffff84c001bd
     1.02%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_set_borrowed
     0.93%  frankenredis  frankenredis      [.] <fr_store::Store>::set_plain_borrowed
     0.73%  fr-writer-0   [unknown]         [k] 0xffffffff84c00080
     0.70%  frankenredis  [unknown]         [k] 0xffffffff85835fc8
     0.63%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind
     0.57%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::is_pubsub_client
     0.56%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>
     0.54%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates
     0.54%  fr-writer-1   [unknown]         [k] 0xffffffff84d04109
     0.53%  frankenredis  libc.so.6         [.] __memcmp_avx2_movbe
     0.52%  frankenredis  [unknown]         [k] 0xffffffff85835fd6
     0.48%  frankenredis  [unknown]         [k] 0xffffffff84c00080
     0.47%  frankenredis  frankenredis      [.] frankenredis::drain_writer_completions
     0.47%  fr-writer-1   [unknown]         [k] 0xffffffff84d0410b
     0.46%  frankenredis  frankenredis      [.] core::ptr::drop_glue::<fr_store::Value>
     0.44%  fr-writer-1   [unknown]         [k] 0xffffffff84c00080
     0.42%  frankenredis  frankenredis      [.] frankenredis::drive_client_output
     0.41%  frankenredis  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection
     0.40%  frankenredis  frankenredis      [.] <fr_store::Store>::drop_if_expired
     0.39%  frankenredis  frankenredis      [.] core::str::converts::from_utf8
     0.37%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.37%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.37%  fr-writer-0   [unknown]         [k] 0xffffffff84d0410b
     0.36%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind
     0.35%  frankenredis  frankenredis      [.] frankenredis::parse_borrowed_plain_set_bulk
     0.33%  fr-writer-1   [unknown]         [k] 0xffffffff86003008
     0.32%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, foldhash::quality::RandomState>>::remove::<u64>
     0.32%  frankenredis  [unknown]         [k] 0xffffffff84d04109
     0.31%  frankenredis  frankenredis      [.] fr_protocol::push_inline_sanitized
     0.31%  fr-writer-0   [unknown]         [k] 0xffffffff8602f7fb
     0.30%  fr-writer-1   [unknown]         [k] 0xffffffff85838ed6
     0.28%  fr-writer-0   [unknown]         [k] 0xffffffff84d04109
     0.27%  frankenredis  frankenredis      [.] _mi_theap_realloc_zero
     0.26%  frankenredis  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>
     0.26%  fr-writer-0   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>
     0.25%  fr-writer-1   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended
     0.24%  fr-writer-1   [unknown]         [k] 0xffffffff84f87bc0
     0.23%  frankenredis  [unknown]         [k] 0xffffffff8546fd9f
     0.23%  fr-writer-0   [unknown]         [k] 0xffffffff84f87bc0
     0.23%  fr-writer-1   [unknown]         [k] 0xffffffff8602f7fb
     0.23%  frankenredis  [unknown]         [k] 0xffffffff851a220b
     0.23%  frankenredis  [unknown]         [k] 0xffffffff85500bc2
     0.22%  frankenredis  [unknown]         [k] 0xffffffff84c00005
     0.22%  fr-writer-1   [unknown]         [k] 0xffffffff84d04104
     0.21%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::pubsub_sub_count
     0.21%  fr-writer-0   [unknown]         [k] 0xffffffff8623b8a6
     0.21%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a
     0.21%  frankenredis  [unknown]         [k] 0xffffffff851a2b6f
     0.21%  frankenredis  [unknown]         [k] 0xffffffff84f87bc0
