# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16834608495
#
# Overhead  Command       Shared Object     Symbol                                                                                                                            
# ........  ............  ................  ..................................................................................................................................
#
     4.63%  frankenredis  frankenredis      [.] fr_store::canonical_string_value_from_slice
            |          
            |--0.79%--<fr_store::Store>::drop_if_expired
            |          
             --0.71%--0x71646f5b5986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_set_borrowed

     2.27%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames
     2.10%  frankenredis  [unknown]         [k] 0xffffffff84c001bd
     1.88%  frankenredis  [vdso]            [.] 0x0000000000000983
     1.41%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_write_allows
     1.23%  fr-writer-1   [unknown]         [k] 0xffffffff84c001bd
     1.21%  fr-writer-0   [unknown]         [k] 0xffffffff84c001bd
     1.17%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_set_borrowed
     1.00%  frankenredis  frankenredis      [.] <fr_store::Store>::set_plain_borrowed
     0.87%  fr-writer-1   [unknown]         [k] 0xffffffff84d0410b
     0.84%  frankenredis  [unknown]         [k] 0xffffffff85835fd6
     0.75%  fr-writer-1   [unknown]         [k] 0xffffffff84d04109
     0.67%  fr-writer-1   [unknown]         [k] 0xffffffff84c00080
     0.60%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates
     0.56%  fr-writer-0   [unknown]         [k] 0xffffffff84d04109
     0.55%  frankenredis  frankenredis      [.] core::str::converts::from_utf8
     0.55%  fr-writer-0   [unknown]         [k] 0xffffffff84c00080
     0.54%  frankenredis  [unknown]         [k] 0xffffffff84c00080
     0.52%  fr-writer-0   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>
     0.49%  frankenredis  libc.so.6         [.] __memcmp_avx2_movbe
     0.49%  fr-writer-0   [unknown]         [k] 0xffffffff84d0410b
     0.48%  frankenredis  frankenredis      [.] frankenredis::drain_writer_completions
     0.47%  frankenredis  frankenredis      [.] fr_protocol::push_inline_sanitized
     0.46%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a
     0.46%  fr-writer-0   [unknown]         [k] 0xffffffff84f87bc0
     0.44%  frankenredis  frankenredis      [.] core::ptr::drop_glue::<fr_store::Value>
     0.42%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, foldhash::quality::RandomState>>::remove::<u64>
     0.42%  frankenredis  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>
     0.41%  frankenredis  frankenredis      [.] mi_free
     0.41%  frankenredis  [unknown]         [k] 0xffffffff84d0410b
     0.40%  frankenredis  [unknown]         [k] 0xffffffff85835fc8
     0.40%  frankenredis  [unknown]         [k] 0xffffffff855005f6
     0.36%  frankenredis  frankenredis      [.] frankenredis::parse_borrowed_plain_set_bulk
     0.36%  fr-writer-1   [unknown]         [k] 0xffffffff8604ce72
     0.36%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>
     0.33%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind
     0.32%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::now
     0.32%  frankenredis  frankenredis      [.] _mi_theap_realloc_zero
     0.31%  fr-writer-1   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended
     0.31%  frankenredis  [unknown]         [k] 0xffffffff85eeb849
     0.30%  frankenredis  [unknown]         [k] 0xffffffff84d04109
     0.30%  frankenredis  frankenredis      [.] frankenredis::main
     0.30%  fr-writer-0   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended
     0.29%  fr-writer-1   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>
     0.28%  fr-writer-1   [unknown]         [k] 0xffffffff86001802
     0.27%  frankenredis  [unknown]         [k] 0xffffffff85eeb840
     0.26%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.25%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind
     0.25%  frankenredis  frankenredis      [.] <fr_store::Store>::drop_if_expired
     0.25%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::pubsub_sub_count
     0.24%  frankenredis  frankenredis      [.] <fr_runtime::ServerState>::run_active_expire_cycle
     0.24%  fr-writer-1   [unknown]         [k] 0xffffffff86010b72
     0.22%  frankenredis  frankenredis      [.] <fr_store::Store>::update_expiry_deadline
     0.22%  fr-writer-0   [unknown]         [k] 0xffffffff8508e93b
     0.22%  frankenredis  [unknown]         [k] 0xffffffff8548f9b9
     0.22%  fr-writer-0   [unknown]         [k] 0xffffffff851965e6
     0.22%  frankenredis  [unknown]         [k] 0xffffffff8519f5cb
     0.21%  fr-writer-1   [unknown]         [k] 0xffffffff86011493
     0.21%  fr-writer-1   [unknown]         [k] 0xffffffff8513cf21
     0.21%  frankenredis  [unknown]         [k] 0xffffffff8623a6a7
     0.20%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::sub_timespec
     0.20%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.20%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e332
     0.19%  fr-writer-0   [unknown]         [k] 0xffffffff8603d478
     0.19%  frankenredis  [unknown]         [k] 0xffffffff84f23440
     0.19%  fr-writer-1   [unknown]         [k] 0xffffffff8507e72a
     0.19%  frankenredis  [unknown]         [k] 0xffffffff84c00002
     0.18%  fr-writer-1   [unknown]         [k] 0xffffffff85ef4076
     0.18%  frankenredis  [unknown]         [k] 0xffffffff8546fd9f
     0.18%  fr-writer-1   [unknown]         [k] 0xffffffff85f2df9d
     0.18%  fr-writer-0   [unknown]         [k] 0xffffffffc0feae53
     0.18%  fr-writer-1   [unknown]         [k] 0xffffffffc0ffd77a
     0.18%  fr-writer-0   [unknown]         [k] 0xffffffff85f6079c
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff85080faa
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff86024112
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff8602f87a
     0.17%  frankenredis  frankenredis      [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.16%  frankenredis  libc.so.6         [.] epoll_ctl
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff860114b7
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff8546fb9e
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff8623a425
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6a7
     0.16%  frankenredis  frankenredis      [.] core::ptr::drop_glue::<fr_runtime::ClientSession>
     0.16%  frankenredis  frankenredis      [.] frankenredis::drive_client_output
     0.15%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::is_pubsub_client
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff86220551
     0.15%  frankenredis  [unknown]         [k] 0xffffffff851a2b6a
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff8519f4a8
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8519f3fe
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff84f2335d
     0.15%  frankenredis  [unknown]         [k] 0xffffffff86220589
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff85124a3c
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85500bc2
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85500bd5
     0.15%  frankenredis  frankenredis      [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
     0.14%  frankenredis  [unknown]         [k] 0xffffffff8548f9be
     0.14%  frankenredis  frankenredis      [.] <fr_protocol::RespFrame>::encode_into
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92477
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff85f2ae87
     0.14%  frankenredis  [unknown]         [k] 0xffffffff85124af8
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff850834f5
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff850905fa
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff860d1d15
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffffc08175c0
     0.14%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_start
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8602f7fb
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff85f02a0c
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85838ed6
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff85eff3bd
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff851a2b20
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff8502176c
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffffc08163f6
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffffc0f923ed
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85712546
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff8572925f
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff8602f685
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba18
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff8603d733
     0.12%  frankenredis  frankenredis      [.] mi_theap_malloc_aligned
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff86023c23
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8603d478
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e2da
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff84c00112
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8602fcb0
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff86001821
     0.12%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::drain_pending_pubsub
     0.12%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<alloc::vec::Vec<u8>, alloc::collections::btree::set_val::SetValZST>>::remove::<[u8]>
     0.12%  frankenredis  [unknown]         [k] 0xffffffff84f87bc0
     0.12%  frankenredis  [unknown]         [k] 0xffffffff851965e6
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff85ef6b04
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd776
     0.12%  frankenredis  libc.so.6         [.] __syscall_cancel
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff851a2b6a
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff851375dc
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85717a6f
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85d0744b
     0.11%  fr-writer-1   frankenredis      [.] <std::sync::mpmc::waker::SyncWaker>::notify
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff84c0012b
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8602f82a
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff86036df8
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84d04104
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff86003008
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0f92477
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f29
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8519f4ed
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff853f127c
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff850bc4c5
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8602b0c5
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff85f02a16
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff84f87bc0
     0.10%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<u64, fr_runtime::ClientSession>>::insert
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85453d1b
     0.10%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<u64, alloc::collections::btree::set_val::SetValZST>>::remove::<u64>
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851a2b34
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851a2a40
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba1b
     0.10%  frankenredis  [unknown]         [k] 0xffffffff84c00153
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85500e4f
     0.10%  frankenredis  [unknown]         [k] 0xffffffff854fe32e
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8602f1c4
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff851a2b20
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff850cd89d
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8546fd39
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85eeb84d
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff84c00005
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff86225220
     0.10%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851965ed
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f20
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85326435
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8519f426
     0.10%  frankenredis  [unknown]         [k] 0xffffffff855005e0
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f3e
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8600dd5f
     0.10%  frankenredis  [unknown]         [k] 0xffffffff862206aa
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85eeb856
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86010d0c
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85503f70
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85500e5c
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff86036dea
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff860114b7
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8603476a
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8510f1f4
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff84d04104
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851a0563
     0.10%  frankenredis  [unknown]         [k] 0xffffffff862206af
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92197
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8508129a
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba2e
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85453c36
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85f2b714
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85196613
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff851a2b38
     0.09%  frankenredis  [unknown]         [k] 0xffffffff851a298a
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8623a345
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff850875bf
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0e7
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8603d667
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff86073375
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85ef2da1
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffffc0fb0810
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff860239c5
     0.09%  frankenredis  [vdso]            [.] 0x0000000000000a10
