# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 16692135954
#
# Overhead  Symbol                                                                                                                                                                                                    Shared Object     IPC   [IPC Coverage]
# ........  ........................................................................................................................................................................................................  ................  ....................
#
     3.86%  [k] 0xffffffff84c001bd                                                                                                                                                                                    [unknown]         -      -            
     3.30%  [.] 0x0000000000000983                                                                                                                                                                                    [vdso]            -      -            
            |          
             --2.90%--0x79f3f3e87983

     1.99%  [k] 0xffffffff84c00080                                                                                                                                                                                    [unknown]         -      -            
     1.69%  [.] fr_protocol::parse_command_args_borrowed_into                                                                                                                                                         frankenredis      -      -            
            |          
             --0.60%--fr_protocol::parse_command_args_borrowed_into

     1.47%  [k] 0xffffffff84d0410b                                                                                                                                                                                    [unknown]         -      -            
     1.29%  [.] <fr_runtime::Runtime>::execute_plain_get_borrowed_into                                                                                                                                                frankenredis      -      -            
            |          
             --0.67%--<fr_runtime::Runtime>::execute_plain_get_borrowed_into

     1.28%  [.] frankenredis::process_buffered_frames                                                                                                                                                                 frankenredis      -      -            
            |          
             --0.57%--frankenredis::process_buffered_frames

     1.21%  [.] <fr_runtime::Runtime>::plain_borrowed_default_key_read_allows                                                                                                                                         frankenredis      -      -            
            |          
             --0.64%--<fr_runtime::Runtime>::plain_borrowed_default_key_read_allows

     1.13%  [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind                                                                                                                                       frankenredis      -      -            
            |          
             --0.52%--<fr_store::CommandHistogramTracker>::record_canonical_with_kind

     0.94%  [k] 0xffffffff84d04109                                                                                                                                                                                    [unknown]         -      -            
     0.76%  [k] 0xffffffff84f87bc0                                                                                                                                                                                    [unknown]         -      -            
     0.76%  [.] <fr_store::Store>::get_string_bytes                                                                                                                                                                   frankenredis      -      -            
     0.69%  [.] fr_protocol::encode_bulk_string_slice                                                                                                                                                                 frankenredis      -      -            
     0.69%  [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended                                                                                                                                                 frankenredis      -      -            
     0.65%  [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>                                                                                                 frankenredis      -      -            
     0.64%  [k] 0xffffffff85835fd6                                                                                                                                                                                    [unknown]         -      -            
     0.62%  [.] __memmove_avx_unaligned_erms                                                                                                                                                                          libc.so.6         -      -            
     0.51%  [k] 0xffffffff84d04104                                                                                                                                                                                    [unknown]         -      -            
     0.50%  [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                                                                                                        frankenredis      -      -            
     0.49%  [.] 0x0000000000000948                                                                                                                                                                                    [vdso]            -      -            
     0.47%  [k] 0xffffffff85835fc8                                                                                                                                                                                    [unknown]         -      -            
     0.46%  [.] frankenredis::drain_writer_completions                                                                                                                                                                frankenredis      -      -            
     0.44%  [.] 0x000000000000093f                                                                                                                                                                                    [vdso]            -      -            
     0.44%  [k] 0xffffffff8546fd6a                                                                                                                                                                                    [unknown]         -      -            
     0.43%  [.] <fr_runtime::Runtime>::is_pubsub_client                                                                                                                                                               frankenredis      -      -            
     0.42%  [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                            frankenredis      -      -            
     0.42%  [.] __syscall_cancel                                                                                                                                                                                      libc.so.6         -      -            
     0.40%  [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates                                                                                                                                               frankenredis      -      -            
     0.40%  [k] 0xffffffff8623a6a7                                                                                                                                                                                    [unknown]         -      -            
     0.36%  [.] <std::sys::pal::unix::time::Timespec>::now                                                                                                                                                            frankenredis      -      -            
     0.36%  [k] 0xffffffff85838ed6                                                                                                                                                                                    [unknown]         -      -            
     0.35%  [k] 0xffffffff86003008                                                                                                                                                                                    [unknown]         -      -            
     0.35%  [.] <fr_store::CommandHistogramTracker>::record_with_kind                                                                                                                                                 frankenredis      -      -            
     0.34%  [.] core::str::converts::from_utf8                                                                                                                                                                        frankenredis      -      -            
     0.34%  [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>                                                                                                           frankenredis      -      -            
     0.34%  [k] 0xffffffff8623a6aa                                                                                                                                                                                    [unknown]         -      -            
     0.34%  [.] frankenredis::drain_pending_pubsub_to_connection                                                                                                                                                      frankenredis      -      -            
     0.34%  [.] __memset_avx2_unaligned_erms                                                                                                                                                                          libc.so.6         -      -            
     0.31%  [.] mi_free                                                                                                                                                                                               frankenredis      -      -            
     0.30%  [k] 0xffffffffc0f923ed                                                                                                                                                                                    [unknown]         -      -            
     0.30%  [.] frankenredis::drive_client_output                                                                                                                                                                     frankenredis      -      -            
     0.30%  [k] 0xffffffff8602f7fb                                                                                                                                                                                    [unknown]         -      -            
     0.29%  [.] __syscall_cancel_arch_start                                                                                                                                                                           libc.so.6         -      -            
     0.28%  [.] <fr_runtime::Runtime>::drain_pending_pubsub                                                                                                                                                           frankenredis      -      -            
     0.28%  [.] _mi_theap_realloc_zero                                                                                                                                                                                frankenredis      -      -            
     0.27%  [k] 0xffffffff84c00002                                                                                                                                                                                    [unknown]         -      -            
     0.27%  [k] 0xffffffffc0f923de                                                                                                                                                                                    [unknown]         -      -            
     0.26%  [.] __memcmp_avx2_movbe                                                                                                                                                                                   libc.so.6         -      -            
     0.25%  [.] <fr_runtime::ClientSession as core::clone::Clone>::clone                                                                                                                                              frankenredis      -      -            
     0.24%  [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&alloc::string::String>                                                                                                       frankenredis      -      -            
     0.24%  [.] _mi_page_malloc_zero                                                                                                                                                                                  frankenredis      -      -            
     0.24%  [k] 0xffffffff86011493                                                                                                                                                                                    [unknown]         -      -            
     0.23%  [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, foldhash::quality::RandomState>>::remove::<u64>                                                                               frankenredis      -      -            
     0.22%  [.] frankenredis::handle_readable                                                                                                                                                                         frankenredis      -      -            
     0.22%  [k] 0xffffffff855005f6                                                                                                                                                                                    [unknown]         -      -            
     0.22%  [k] 0xffffffff85ffba18                                                                                                                                                                                    [unknown]         -      -            
     0.21%  [k] 0xffffffff84c0012b                                                                                                                                                                                    [unknown]         -      -            
     0.21%  [k] 0xffffffff8602eb0b                                                                                                                                                                                    [unknown]         -      -            
     0.20%  [k] 0xffffffff851a2b34                                                                                                                                                                                    [unknown]         -      -            
     0.20%  [.] epoll_ctl                                                                                                                                                                                             libc.so.6         -      -            
     0.19%  [k] 0xffffffff86001821                                                                                                                                                                                    [unknown]         -      -            
     0.19%  [.] <fr_store::Store>::drop_if_expired                                                                                                                                                                    frankenredis      -      -            
     0.19%  [.] frankenredis::main                                                                                                                                                                                    frankenredis      -      -            
     0.19%  [k] 0xffffffff8603c843                                                                                                                                                                                    [unknown]         -      -            
     0.18%  [.] 0x000000000000093b                                                                                                                                                                                    [vdso]            -      -            
     0.18%  [k] 0xffffffff84c00005                                                                                                                                                                                    [unknown]         -      -            
     0.18%  [k] 0xffffffff85124af4                                                                                                                                                                                    [unknown]         -      -            
     0.17%  [.] <fr_runtime::ServerState>::run_active_expire_cycle                                                                                                                                                    frankenredis      -      -            
     0.17%  [k] 0xffffffff85f2e2da                                                                                                                                                                                    [unknown]         -      -            
     0.17%  [.] 0x000000000000094d                                                                                                                                                                                    [vdso]            -      -            
     0.17%  [k] 0xffffffff8519f3fe                                                                                                                                                                                    [unknown]         -      -            
     0.17%  [k] 0xffffffff8603d478                                                                                                                                                                                    [unknown]         -      -            
     0.16%  [k] 0xffffffff84f8c9d1                                                                                                                                                                                    [unknown]         -      -            
     0.16%  [k] 0xffffffffc0fdcfa3                                                                                                                                                                                    [unknown]         -      -            
     0.16%  [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>                                                                                                              frankenredis      -      -            
     0.15%  [k] 0xffffffff85f2e332                                                                                                                                                                                    [unknown]         -      -            
     0.15%  [k] 0xffffffff851a2b6a                                                                                                                                                                                    [unknown]         -      -            
     0.15%  [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                             libc.so.6         -      -            
     0.15%  [.] <alloc::collections::btree::map::BTreeMap<u64, fr_runtime::ClientSession>>::insert                                                                                                                    frankenredis      -      -            
     0.15%  [k] 0xffffffff86220569                                                                                                                                                                                    [unknown]         -      -            
     0.14%  [k] 0xffffffff86220705                                                                                                                                                                                    [unknown]         -      -            
     0.14%  [.] <hashbrown::map::HashMap<mio::token::Token, (), std::hash::random::RandomState>>::insert                                                                                                              frankenredis      -      -            
     0.14%  [.] __syscall_cancel_arch_end                                                                                                                                                                             libc.so.6         -      -            
     0.14%  [k] 0xffffffff8510f1dd                                                                                                                                                                                    [unknown]         -      -            
     0.14%  [k] 0xffffffff84f233a4                                                                                                                                                                                    [unknown]         -      -            
     0.14%  [k] 0xffffffff85729265                                                                                                                                                                                    [unknown]         -      -            
     0.14%  [k] 0xffffffff85ffba1b                                                                                                                                                                                    [unknown]         -      -            
     0.14%  [k] 0xffffffff851a220b                                                                                                                                                                                    [unknown]         -      -            
     0.14%  [.] <std::sync::mpmc::array::Channel<frankenredis::WriterJob>>::recv::{closure#1}                                                                                                                         frankenredis      -      -            
     0.14%  [k] 0xffffffff860239c5                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff855005ed                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff85729263                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff851965e6                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff853f1304                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff8571c0e7                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff8546fb9b                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff8546fb9e                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff8519f584                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff8621f910                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffff851a222e                                                                                                                                                                                    [unknown]         -      -            
     0.13%  [k] 0xffffffffc0f928be                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff85124d3c                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [.] <fr_runtime::Runtime>::pubsub_sub_count                                                                                                                                                               frankenredis      -      -            
     0.12%  [k] 0xffffffff8600dd5f                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff85835fd1                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffffc0f92477                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff85eeb849                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff8622055a                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff8601149b                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff85eff199                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write                                                                                                                  frankenredis      -      -            
     0.12%  [k] 0xffffffff8572a609                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff85eeb840                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff85453d17                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff851965ed                                                                                                                                                                                    [unknown]         -      -            
     0.12%  [k] 0xffffffff8519f426                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [k] 0xffffffff85838ec8                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [k] 0xffffffff850b8f29                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [.] <fr_runtime::ServerState>::propagate_expired_key_deletions                                                                                                                                            frankenredis      -      -            
     0.11%  [k] 0xffffffff85124afc                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [.] <fr_runtime::ClientSession as core::default::Default>::default                                                                                                                                        frankenredis      -      -            
     0.11%  [k] 0xffffffff850b8f20                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [.] __send                                                                                                                                                                                                libc.so.6         -      -            
     0.11%  [k] 0xffffffff8548f9b6                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [k] 0xffffffff8602f2a5                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [k] 0xffffffff86001805                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [k] 0xffffffff8623a4ce                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [k] 0xffffffff8621f960                                                                                                                                                                                    [unknown]         -      -            
     0.11%  [.] mi_theap_malloc_aligned                                                                                                                                                                               frankenredis      -      -            
     0.10%  [k] 0xffffffff86220589                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff8546fd9f                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff85500bc2                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff855005e0                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff8584169c                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [.] fr_protocol::write_u64_digits                                                                                                                                                                         frankenredis      -      -            
     0.10%  [k] 0xffffffff85500bbe                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [.] <fr_runtime::ClientSession>::refresh_authentication_for_server                                                                                                                                        frankenredis      -      -            
     0.10%  [.] 0x00000000000009f6                                                                                                                                                                                    [vdso]            -      -            
     0.10%  [k] 0xffffffff86229e6b                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff85080fa4                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff8546fda6                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff85500bd2                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff86001802                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff8603d39a                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff8550060d                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff850b8f25                                                                                                                                                                                    [unknown]         -      -            
     0.10%  [k] 0xffffffff85f2b679                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [k] 0xffffffff854afec9                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [k] 0xffffffff851a2b6f                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [k] 0xffffffff8623b890                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [k] 0xffffffff854ffa99                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [k] 0xffffffffc0fd7247                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [k] 0xffffffff86022e1d                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [k] 0xffffffff8602f8fd                                                                                                                                                                                    [unknown]         -      -            
     0.09%  [.] <mio::sys::unix::waker::Waker>::wake                                                                                                                                                                  frankenredis      -      -            
     0.09%  [k] 0xffffffff85ef3fbc                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff860114b7                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff86023c23                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff853ec34e                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff853f14e7                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff85ffba24                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff851a2b20                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff850884f5                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff860344a4                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff85124d44                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff85124bd5                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [.] __GI___libc_write                                                                                                                                                                                     libc.so.6         -      -            
     0.08%  [k] 0xffffffff8548f9be                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff860317ce                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff85021b1a                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff8623a3b0                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff85eeb845                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff86027636                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [k] 0xffffffff851a298a                                                                                                                                                                                    [unknown]         -      -            
     0.08%  [.] 0x0000000000000988                                                                                                                                                                                    [vdso]            -      -            
     0.08%  [k] 0xffffffff858416a2                                                                                                                                                                                    [unknown]         -      -            
