% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 50.97    2.027856          41     48941      4300 futex
 17.05    0.678472          36     18790           sendto
  9.22    0.366992           9     37735           epoll_ctl
  8.75    0.347976          18     18795           write
  7.17    0.285340          15     18880           recvfrom
  5.10    0.202865          14     14158         1 epoll_wait
  0.81    0.032072          22      1405           read
  0.55    0.021705          15      1401           openat
  0.25    0.010032           6      1505           close
  0.04    0.001565          15       102        51 shutdown
  0.01    0.000592          11        53         2 accept4
  0.01    0.000590           5       103           setsockopt
  0.01    0.000360           8        43           madvise
  0.01    0.000259           5        51           fcntl
  0.01    0.000253           4        51           ioctl
  0.00    0.000194           6        28           mmap
  0.00    0.000151          37         4           munmap
  0.00    0.000136          68         2           clone3
  0.00    0.000112          12         9           rt_sigprocmask
  0.00    0.000101          10        10           mprotect
  0.00    0.000090          15         6           sigaltstack
  0.00    0.000074          24         3           rseq
  0.00    0.000062          12         5           prctl
  0.00    0.000059          59         1           bind
  0.00    0.000056          18         3           sched_getaffinity
  0.00    0.000055          18         3           set_robust_list
  0.00    0.000053          53         1           listen
  0.00    0.000048           9         5           getrandom
  0.00    0.000039          13         3           gettid
  0.00    0.000035          35         1           socket
  0.00    0.000034          17         2         2 access
  0.00    0.000023           3         6           rt_sigaction
  0.00    0.000023           5         4           getpid
  0.00    0.000011          11         1           epoll_create1
  0.00    0.000010          10         1           eventfd2
  0.00    0.000000           0         2           open
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    3.978295          24    162132      4356 total
