# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15228250647
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     5.37%  frankenredis  [vdso]            [.] 0x0000000000000983                                                                                                          -      -            
            |          
            |--1.26%--<fr_store::Store>::drop_if_expired
            |          
             --0.72%--__memcmp_avx2_movbe

     2.22%  frankenredis  [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     1.45%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_get_borrowed_into                                                                      -      -            
     1.12%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_read_allows                                                               -      -            
     1.10%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames                                                                                       -      -            
     1.06%  frankenredis  frankenredis      [.] fr_protocol::parse_command_args_borrowed_into                                                                               -      -            
     1.04%  frankenredis  [vdso]            [.] 0x000000000000093f                                                                                                          -      -            
     1.00%  fr-writer-1   [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     0.94%  fr-writer-1   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>                       -      -            
     0.84%  frankenredis  [vdso]            [.] 0x0000000000000948                                                                                                          -      -            
     0.81%  fr-writer-0   [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.77%  fr-writer-0   [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     0.72%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates                                                                     -      -            
     0.71%  fr-writer-1   [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.70%  frankenredis  frankenredis      [.] fr_protocol::encode_bulk_string_slice                                                                                       -      -            
     0.65%  frankenredis  frankenredis      [.] frankenredis::drain_writer_completions                                                                                      -      -            
     0.62%  frankenredis  frankenredis      [.] <fr_store::Store>::get_string_bytes                                                                                         -      -            
     0.60%  frankenredis  [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.59%  fr-writer-1   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended                                                                       -      -            
     0.57%  fr-writer-0   [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.56%  frankenredis  [unknown]         [k] 0xffffffff85835fd6                                                                                                          -      -            
     0.56%  frankenredis  frankenredis      [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                  -      -            
     0.54%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms                                                                                                -      -            
     0.54%  frankenredis  [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.53%  frankenredis  frankenredis      [.] mi_free                                                                                                                     -      -            
     0.51%  frankenredis  [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.49%  fr-writer-0   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>                       -      -            
     0.46%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms                                                                                                -      -            
     0.45%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind                                                                       -      -            
     0.45%  fr-writer-0   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended                                                                       -      -            
     0.44%  fr-writer-0   [unknown]         [k] 0xffffffff85838ed6                                                                                                          -      -            
     0.43%  frankenredis  frankenredis      [.] _mi_theap_realloc_zero                                                                                                      -      -            
     0.42%  fr-writer-1   [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.42%  frankenredis  frankenredis      [.] frankenredis::handle_readable                                                                                               -      -            
     0.39%  frankenredis  libc.so.6         [.] clock_gettime@@GLIBC_2.17                                                                                                   -      -            
     0.37%  frankenredis  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>                                 -      -            
     0.37%  frankenredis  [unknown]         [k] 0xffffffff855005f6                                                                                                          -      -            
     0.36%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<u64, fr_runtime::ClientSession>>::insert                                          -      -            
     0.36%  frankenredis  [vdso]            [.] 0x000000000000094d                                                                                                          -      -            
     0.35%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e332                                                                                                          -      -            
     0.35%  frankenredis  [vdso]            [.] 0x000000000000093b                                                                                                          -      -            
     0.34%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind                                                             -      -            
     0.31%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba1b                                                                                                          -      -            
     0.31%  fr-writer-0   [unknown]         [k] 0xffffffff84f87bc0                                                                                                          -      -            
     0.31%  fr-writer-1   [unknown]         [k] 0xffffffff85838ed6                                                                                                          -      -            
     0.30%  frankenredis  [unknown]         [k] 0xffffffff8519f3fe                                                                                                          -      -            
     0.30%  frankenredis  frankenredis      [.] frankenredis::drive_client_output                                                                                           -      -            
     0.30%  frankenredis  [unknown]         [k] 0xffffffff851965e6                                                                                                          -      -            
     0.29%  frankenredis  [unknown]         [k] 0xffffffff8623b8c0                                                                                                          -      -            
     0.29%  fr-writer-0   [unknown]         [k] 0xffffffff8602f7fb                                                                                                          -      -            
     0.29%  frankenredis  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection                                                                            -      -            
     0.29%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::now                                                                                  -      -            
     0.28%  fr-writer-1   [unknown]         [k] 0xffffffff84f87bc0                                                                                                          -      -            
     0.27%  frankenredis  libc.so.6         [.] __memcmp_avx2_movbe                                                                                                         -      -            
     0.26%  fr-writer-1   [unknown]         [k] 0xffffffffc0fb0810                                                                                                          -      -            
     0.26%  fr-writer-0   [unknown]         [k] 0xffffffff84d04104                                                                                                          -      -            
     0.25%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::drain_pending_pubsub                                                                                 -      -            
     0.24%  frankenredis  [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
     0.24%  fr-writer-0   [unknown]         [k] 0xffffffff8508e760                                                                                                          -      -            
     0.23%  fr-writer-0   [unknown]         [k] 0xffffffff85088549                                                                                                          -      -            
     0.23%  frankenredis  frankenredis      [.] core::str::converts::from_utf8                                                                                              -      -            
     0.23%  fr-writer-0   [unknown]         [k] 0xffffffff86036f2a                                                                                                          -      -            
     0.23%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, foldhash::quality::RandomState>>::remove::<u64>     -      -            
     0.23%  fr-writer-0   frankenredis      [.] <mio::sys::unix::waker::Waker>::wake                                                                                        -      -            
     0.23%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e332                                                                                                          -      -            
     0.22%  frankenredis  [unknown]         [k] 0xffffffff854afec4                                                                                                          -      -            
     0.22%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a                                                                                                          -      -            
     0.22%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                              -      -            
     0.22%  fr-writer-0   [unknown]         [k] 0xffffffff8622058e                                                                                                          -      -            
     0.22%  fr-writer-0   [unknown]         [k] 0xffffffff86011271                                                                                                          -      -            
     0.21%  frankenredis  [unknown]         [k] 0xffffffff84c00005                                                                                                          -      -            
     0.21%  fr-writer-0   [unknown]         [k] 0xffffffff85d0744b                                                                                                          -      -            
     0.21%  fr-writer-0   [unknown]         [k] 0xffffffffc0f92477                                                                                                          -      -            
     0.20%  frankenredis  [unknown]         [k] 0xffffffff862251d6                                                                                                          -      -            
     0.20%  fr-writer-1   [unknown]         [k] 0xffffffffc0fd3f39                                                                                                          -      -            
     0.20%  frankenredis  frankenredis      [.] <fr_store::Store>::drop_if_expired                                                                                          -      -            
     0.20%  fr-writer-1   [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.19%  fr-writer-0   libc.so.6         [.] __syscall_cancel                                                                                                            -      -            
     0.19%  fr-writer-0   [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.19%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f29                                                                                                          -      -            
     0.19%  fr-writer-1   [unknown]         [k] 0xffffffff85f2f049                                                                                                          -      -            
     0.19%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba18                                                                                                          -      -            
     0.18%  fr-writer-0   frankenredis      [.] <std::sync::mpmc::waker::SyncWaker>::notify                                                                                 -      -            
     0.18%  fr-writer-1   [unknown]         [k] 0xffffffff86001802                                                                                                          -      -            
     0.18%  frankenredis  [unknown]         [k] 0xffffffff85500bd5                                                                                                          -      -            
     0.18%  fr-writer-1   [unknown]         [k] 0xffffffff86001824                                                                                                          -      -            
     0.18%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::sub_timespec                                                                         -      -            
     0.18%  fr-writer-0   [unknown]         [k] 0xffffffff85087ecc                                                                                                          -      -            
     0.17%  frankenredis  [unknown]         [k] 0xffffffff86220705                                                                                                          -      -            
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff86036f6c                                                                                                          -      -            
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff86011485                                                                                                          -      -            
     0.17%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::pubsub_sub_count                                                                                     -      -            
     0.17%  frankenredis  [unknown]         [k] 0xffffffff84d04104                                                                                                          -      -            
     0.17%  frankenredis  frankenredis      [.] <fr_runtime::ServerState>::run_active_expire_cycle                                                                          -      -            
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff85f2f03d                                                                                                          -      -            
     0.17%  frankenredis  [unknown]         [k] 0xffffffff8602253f                                                                                                          -      -            
     0.17%  frankenredis  [unknown]         [k] 0xffffffff855005fb                                                                                                          -      -            
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff853f14e7                                                                                                          -      -            
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff85f2ef10                                                                                                          -      -            
     0.17%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::is_pubsub_client                                                                                     -      -            
     0.17%  frankenredis  [unknown]         [k] 0xffffffff855005e0                                                                                                          -      -            
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba2e                                                                                                          -      -            
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff8519660e                                                                                                          -      -            
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff8602f685                                                                                                          -      -            
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff853f1400                                                                                                          -      -            
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff86023681                                                                                                          -      -            
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff850a6cf0                                                                                                          -      -            
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff860347b9                                                                                                          -      -            
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff850a7118                                                                                                          -      -            
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff8602cf78                                                                                                          -      -            
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff84c00112                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8621f910                                                                                                          -      -            
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff860112aa                                                                                                          -      -            
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffffc0feb07e                                                                                                          -      -            
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff84c00005                                                                                                          -      -            
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff850b2c99                                                                                                          -      -            
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffffc0fdcfa3                                                                                                          -      -            
     0.14%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::record_client_session                                                                                -      -            
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff86011305                                                                                                          -      -            
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff85071fc6                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff8546fe25                                                                                                          -      -            
     0.13%  frankenredis  [unknown]         [k] 0xffffffff85453d17                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff85729268                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff8519f7cd                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff85eff1a7                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e2b5                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff86229e6b                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffffc0f923ed                                                                                                          -      -            
     0.13%  frankenredis  [unknown]         [k] 0xffffffff8519660e                                                                                                          -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8571c0e7                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff85500816                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff8600dd5f                                                                                                          -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff850a7a0f                                                                                                          -      -            
     0.12%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_end                                                                                                   -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff85f02a63                                                                                                          -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffffc0fd6c42                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff8519f426                                                                                                          -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8502171f                                                                                                          -      -            
     0.12%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_start                                                                                                 -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffffc0817606                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff85eefc98                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff851965ed                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffffc0fdcfa3                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8602f7fb                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff86003008                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffffc0fddc92                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff85090229                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85480b7e                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0fddc98                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff854fe4fa                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85835fc8                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85196614                                                                                                          -      -            
     0.11%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession as core::clone::Clone>::clone                                                                    -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85124d3c                                                                                                          -      -            
     0.11%  frankenredis  frankenredis      [.] frankenredis::main                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85480b60                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0f924b3                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8547fa8b                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85eec316                                                                                                          -      -            
     0.11%  frankenredis  frankenredis      [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write                                        -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff854fe34b                                                                                                          -      -            
     0.11%  frankenredis  [vdso]            [.] 0x00000000000009bc                                                                                                          -      -            
     0.11%  frankenredis  [vdso]            [.] 0x000000000000095a                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84c00112                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84f234c3                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8507e72a                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd776                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85133ab5                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
