# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15783509527
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                  
# ........  ............  ................  ........................................................................................................................................................................................................
#
     3.95%  frankenredis  [vdso]            [.] 0x0000000000000983
            |          
             --1.10%--__memcmp_avx2_movbe

     2.79%  frankenredis  [vdso]            [.] 0x0000000000000937
     2.54%  frankenredis  [unknown]         [k] 0xffffffff84c001bd
     1.59%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_get_borrowed_into
     1.08%  fr-writer-1   [unknown]         [k] 0xffffffff84c001bd
     1.07%  fr-writer-0   [unknown]         [k] 0xffffffff84c001bd
     0.98%  frankenredis  frankenredis      [.] <fr_store::Store>::get_string_bytes
     0.93%  fr-writer-0   [unknown]         [k] 0xffffffff84d0410b
     0.87%  frankenredis  [unknown]         [k] 0xffffffff85835fd6
     0.82%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_read_allows
     0.82%  fr-writer-0   [unknown]         [k] 0xffffffff84c00080
     0.75%  fr-writer-1   [unknown]         [k] 0xffffffff84d0410b
     0.69%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates
     0.68%  fr-writer-1   [unknown]         [k] 0xffffffff84d04109
     0.66%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames
     0.63%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.62%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a
     0.62%  frankenredis  frankenredis      [.] fr_protocol::encode_bulk_string_slice
     0.61%  fr-writer-1   [unknown]         [k] 0xffffffff84c00080
     0.61%  frankenredis  [unknown]         [k] 0xffffffff855005f6
     0.59%  frankenredis  [unknown]         [k] 0xffffffff85500bbe
     0.54%  fr-writer-0   [unknown]         [k] 0xffffffff84d04109
     0.54%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>
     0.49%  frankenredis  libc.so.6         [.] __memcmp_avx2_movbe
     0.47%  frankenredis  [unknown]         [k] 0xffffffff84d04109
     0.47%  frankenredis  frankenredis      [.] core::str::converts::from_utf8
     0.46%  frankenredis  [unknown]         [k] 0xffffffff84c00080
     0.43%  frankenredis  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>
     0.40%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind
     0.39%  frankenredis  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection
     0.38%  frankenredis  frankenredis      [.] frankenredis::handle_readable
     0.35%  fr-writer-0   [unknown]         [k] 0xffffffff85838ed6
     0.34%  fr-writer-0   [unknown]         [k] 0xffffffff84f87bc0
     0.34%  fr-writer-1   [unknown]         [k] 0xffffffff84f87bc0
     0.34%  frankenredis  frankenredis      [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
     0.34%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::now
     0.32%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.32%  fr-writer-1   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>
