# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 17129595225
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     3.73%  frankenredis  [vdso]            [.] 0x0000000000000983                                                                                                          -      -            
     2.50%  frankenredis  [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     2.06%  frankenredis  [vdso]            [.] 0x0000000000000937                                                                                                          -      -            
     1.16%  frankenredis  frankenredis      [.] <fr_store::Store>::get_string_bytes                                                                                         -      -            
     1.04%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames                                                                                       -      -            
     1.03%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_get_borrowed_into                                                                      -      -            
     0.87%  fr-writer-1   [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     0.84%  fr-writer-0   [unknown]         [k] 0xffffffff84c001bd                                                                                                          -      -            
     0.81%  frankenredis  frankenredis      [.] fr_protocol::encode_bulk_string_slice                                                                                       -      -            
     0.79%  frankenredis  [unknown]         [k] 0xffffffff85835fd6                                                                                                          -      -            
     0.73%  fr-writer-0   [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.71%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_read_allows                                                               -      -            
     0.70%  fr-writer-0   [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.70%  fr-writer-1   [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.67%  fr-writer-1   [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.65%  frankenredis  frankenredis      [.] core::str::converts::from_utf8                                                                                              -      -            
     0.56%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                              -      -            
     0.55%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates                                                                     -      -            
     0.54%  frankenredis  frankenredis      [.] frankenredis::drain_writer_completions                                                                                      -      -            
     0.52%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms                                                                                                -      -            
     0.51%  frankenredis  [unknown]         [k] 0xffffffff84c00080                                                                                                          -      -            
     0.50%  frankenredis  libc.so.6         [.] __memcmp_avx2_movbe                                                                                                         -      -            
     0.49%  fr-writer-1   [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.47%  frankenredis  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>                                 -      -            
     0.47%  frankenredis  frankenredis      [.] frankenredis::drive_client_output                                                                                           -      -            
     0.46%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a                                                                                                          -      -            
     0.44%  fr-writer-1   [unknown]         [k] 0xffffffff85838ed6                                                                                                          -      -            
     0.44%  fr-writer-0   [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.43%  fr-writer-0   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>                       -      -            
     0.40%  frankenredis  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection                                                                            -      -            
     0.39%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::drain_pending_pubsub                                                                                 -      -            
     0.39%  fr-writer-1   [unknown]         [k] 0xffffffff84f87bc0                                                                                                          -      -            
     0.37%  fr-writer-0   [unknown]         [k] 0xffffffff84f87bc0                                                                                                          -      -            
     0.37%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, foldhash::quality::RandomState>>::remove::<u64>     -      -            
     0.37%  fr-writer-0   [unknown]         [k] 0xffffffff84d04104                                                                                                          -      -            
     0.37%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms                                                                                                -      -            
     0.35%  frankenredis  frankenredis      [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                  -      -            
     0.35%  frankenredis  [unknown]         [k] 0xffffffff84d04109                                                                                                          -      -            
     0.34%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind                                                             -      -            
     0.32%  frankenredis  frankenredis      [.] frankenredis::handle_readable                                                                                               -      -            
     0.31%  frankenredis  [unknown]         [k] 0xffffffff84d0410b                                                                                                          -      -            
     0.30%  frankenredis  frankenredis      [.] <fr_store::Store>::drop_if_expired                                                                                          -      -            
     0.30%  fr-writer-0   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended                                                                       -      -            
     0.30%  fr-writer-1   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended                                                                       -      -            
     0.29%  frankenredis  [unknown]         [k] 0xffffffff84c00002                                                                                                          -      -            
     0.28%  frankenredis  [unknown]         [k] 0xffffffff85835fc8                                                                                                          -      -            
     0.26%  fr-writer-1   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>                       -      -            
