# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:P'
# Event count (approx.): 17819101513
#
# Overhead  Command       Shared Object     Symbol                                                                                                                     
# ........  ............  ................  ...........................................................................................................................
#
     5.18%  frankenredis  [vdso]            [.] 0x0000000000000983
            |          
            |--1.17%--<fr_store::Store>::drop_if_expired
            |          
            |--0.87%--__memcmp_avx2_movbe
            |          
             --0.61%--0x71c03467f986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate

     3.47%  frankenredis  [vdso]            [.] 0x0000000000000937
            |          
            |--0.99%--<fr_store::Store>::drop_if_expired
            |          
             --0.65%--__memcmp_avx2_movbe

     2.53%  frankenredis  [unknown]         [k] 0xffffffff84c001bd
     1.74%  frankenredis  frankenredis      [.] <fr_store::Store>::get_string_bytes
     1.15%  fr-writer-1   [unknown]         [k] 0xffffffff84c001bd
     1.00%  fr-writer-0   [unknown]         [k] 0xffffffff84c001bd
     0.83%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate
     0.82%  fr-writer-1   [unknown]         [k] 0xffffffff84d0410b
     0.78%  frankenredis  [unknown]         [k] 0xffffffff85835fd6
     0.77%  frankenredis  frankenredis      [.] fr_protocol::encode_bulk_string_slice
     0.72%  fr-writer-1   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>
     0.69%  fr-writer-0   [unknown]         [k] 0xffffffff84c00080
     0.69%  frankenredis  [unknown]         [k] 0xffffffff84c00080
     0.68%  fr-writer-0   [unknown]         [k] 0xffffffff84d0410b
     0.67%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames
     0.66%  fr-writer-1   [unknown]         [k] 0xffffffff84c00080
     0.61%  fr-writer-0   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended
     0.60%  frankenredis  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection
     0.56%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.50%  fr-writer-0   [unknown]         [k] 0xffffffff84f87bc0
     0.48%  frankenredis  frankenredis      [.] _mi_theap_realloc_zero
     0.46%  frankenredis  frankenredis      [.] frankenredis::handle_readable
     0.45%  fr-writer-1   [unknown]         [k] 0xffffffff84d04109
     0.45%  frankenredis  frankenredis      [.] core::str::converts::from_utf8
     0.42%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.41%  fr-writer-1   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended
     0.40%  fr-writer-0   [unknown]         [k] 0xffffffff84d04109
     0.39%  fr-writer-1   [unknown]         [k] 0xffffffff84f87bc0
     0.39%  frankenredis  libc.so.6         [.] epoll_ctl
     0.39%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a
     0.38%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind
     0.38%  frankenredis  frankenredis      [.] <fr_store::Store>::drop_if_expired
     0.36%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>
