% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 48.55   44.332590         709     62500           recvfrom
 47.25   43.138285         690     62500           sendto
  3.70    3.376833      675366         5         1 futex
  0.07    0.060877         302       201           rt_sigprocmask
  0.06    0.058808         274       214           mmap
  0.06    0.051523         336       153           sigaltstack
  0.05    0.050206         334       150           setsockopt
  0.04    0.032764         655        50           clone3
  0.03    0.031694         316       100           madvise
  0.03    0.031346         298       105           mprotect
  0.03    0.026838         164       163           munmap
  0.02    0.019525         390        50           connect
  0.02    0.019239         343        56           close
  0.02    0.015975         313        51           gettid
  0.02    0.015829         316        50           socket
  0.02    0.015395         301        51           rseq
  0.02    0.014373         281        51           set_robust_list
  0.02    0.013928         273        51           sched_getaffinity
  0.00    0.000265          44         6           openat
  0.00    0.000102          17         6           read
  0.00    0.000031          15         2           lseek
  0.00    0.000026           4         6           rt_sigaction
  0.00    0.000024           6         4           fstat
  0.00    0.000014           4         3           brk
  0.00    0.000013           6         2           pread64
  0.00    0.000010           5         2           prlimit64
  0.00    0.000006           6         1           poll
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000006           6         1           getrandom
  0.00    0.000000           0         8           write
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         1           statx
------ ----------- ----------- --------- --------- ------------------
100.00   91.306537         721    126548         3 total
