% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 97.89    0.729103       81011         9           futex
  0.82    0.006077         121        50           clone3
  0.50    0.003719          44        84           munmap
  0.31    0.002325          23       101           rt_sigprocmask
  0.17    0.001302          26        50           madvise
  0.15    0.001112          17        64           mmap
  0.06    0.000452         452         1           execve
  0.03    0.000213          42         5           openat
  0.01    0.000089          17         5           mprotect
  0.01    0.000076           9         8           write
  0.01    0.000075          15         5           read
  0.01    0.000049          49         1         1 mkdir
  0.00    0.000032           6         5           close
  0.00    0.000031           7         4           fstat
  0.00    0.000031          15         2           lseek
  0.00    0.000028           4         6           rt_sigaction
  0.00    0.000021           7         3           brk
  0.00    0.000015          15         1           arch_prctl
  0.00    0.000013           6         2           pread64
  0.00    0.000013           4         3           sigaltstack
  0.00    0.000010          10         1         1 access
  0.00    0.000010           5         2           prlimit64
  0.00    0.000009           9         1           statx
  0.00    0.000007           7         1           set_tid_address
  0.00    0.000006           6         1           sched_getaffinity
  0.00    0.000005           5         1           poll
  0.00    0.000005           5         1           gettid
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000005           5         1           getrandom
  0.00    0.000005           5         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.744843        1773       420         2 total
