% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 42.99    0.240554           7     31250           sendto
 18.52    0.103617           3     31300           recvfrom
 17.93    0.100314          27      3588         1 epoll_wait
 14.93    0.083545           2     31401           epoll_ctl
  3.25    0.018175           6      2841           read
  0.90    0.005054          14       359           openat
  0.48    0.002695           6       411           close
  0.33    0.001861           5       354           statx
  0.25    0.001401          14       100        50 shutdown
  0.12    0.000671          12        55           madvise
  0.10    0.000579         579         1           execve
  0.07    0.000416           8        51         1 accept4
  0.05    0.000272          12        22           mmap
  0.04    0.000218           4        51           setsockopt
  0.01    0.000037           7         5           write
  0.00    0.000024           4         5           fstat
  0.00    0.000024           6         4           getpid
  0.00    0.000017          17         1           socket
  0.00    0.000016           8         2           rt_sigprocmask
  0.00    0.000014          14         1           bind
  0.00    0.000013           2         5           rt_sigaction
  0.00    0.000011           5         2           pread64
  0.00    0.000009           9         1         1 access
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000006           2         3           brk
  0.00    0.000006           6         1           listen
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000006           6         1           set_robust_list
  0.00    0.000006           2         3           getrandom
  0.00    0.000005           5         1           rseq
  0.00    0.000000           0         2           open
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    0.559587           5    101844        53 total
