% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 51.26    0.291596           9     31250           sendto
 20.76    0.118121           3     31300           recvfrom
 16.59    0.094404           3     31401           epoll_ctl
  8.42    0.047919          26      1829         1 epoll_wait
  1.48    0.008416           5      1489           read
  0.40    0.002250          11       190           openat
  0.27    0.001510           6       242           close
  0.22    0.001265          12       100        50 shutdown
  0.14    0.000818           4       185           statx
  0.11    0.000612         612         1           execve
  0.10    0.000585          11        51         1 accept4
  0.05    0.000303           5        51           setsockopt
  0.05    0.000294          13        22           mmap
  0.05    0.000287           5        56           madvise
  0.01    0.000074          12         6           mprotect
  0.01    0.000045           9         5           write
  0.01    0.000043          21         2           lseek
  0.01    0.000036          18         2           open
  0.01    0.000032           6         5           fstat
  0.00    0.000025           5         5           rt_sigaction
  0.00    0.000022           7         3           prctl
  0.00    0.000021           5         4           getpid
  0.00    0.000018           6         3           brk
  0.00    0.000017           5         3           getrandom
  0.00    0.000016          16         1           socket
  0.00    0.000015           7         2           pread64
  0.00    0.000015          15         1           arch_prctl
  0.00    0.000014          14         1           munmap
  0.00    0.000014           7         2           prlimit64
  0.00    0.000013           6         2           rt_sigprocmask
  0.00    0.000012          12         1           bind
  0.00    0.000011           5         2           sigaltstack
  0.00    0.000011          11         1           sched_getaffinity
  0.00    0.000010          10         1           sysinfo
  0.00    0.000010          10         1           epoll_create1
  0.00    0.000009           9         1         1 access
  0.00    0.000008           8         1           poll
  0.00    0.000007           7         1           listen
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000005           5         1           gettid
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000004           4         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.568898           5     98227        53 total
