% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 42.46    0.406354          39     10212         1 epoll_wait
 27.84    0.266430           8     31250           sendto
 11.49    0.109966           3     31301           recvfrom
  9.19    0.087955           2     31404           epoll_ctl
  5.90    0.056450           6      8153           read
  1.54    0.014771          14      1023           openat
  0.76    0.007295           6      1076           close
  0.60    0.005786           5      1018           statx
  0.12    0.001157          11       102        51 shutdown
  0.05    0.000483           8        54         3 accept4
  0.03    0.000258           4        52           setsockopt
  0.01    0.000080           3        26           madvise
  0.00    0.000000           0         5           write
  0.00    0.000000           0         2           open
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0        22           mmap
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         4           getpid
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         3           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.956985           8    115754        56 total
