% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 50.64    0.466274          30     15097         1 epoll_wait
 24.96    0.229804           7     31250           sendto
 10.40    0.095777           3     31301           recvfrom
  9.25    0.085124           7     11953           read
  2.45    0.022514          15      1498           openat
  1.12    0.010344           6      1551           close
  0.92    0.008496           5      1493           statx
  0.06    0.000577          10        54           madvise
  0.06    0.000574           5       102        51 shutdown
  0.04    0.000386           2       154           epoll_ctl
  0.02    0.000184           3        54         3 accept4
  0.01    0.000093           1        52           setsockopt
  0.01    0.000084          14         6           mprotect
  0.01    0.000058          11         5           write
  0.01    0.000049           2        22           mmap
  0.01    0.000048          48         1           arch_prctl
  0.00    0.000045          22         2           lseek
  0.00    0.000032          16         2           open
  0.00    0.000025           5         5           rt_sigaction
  0.00    0.000023           7         3           prctl
  0.00    0.000020           5         4           getpid
  0.00    0.000019           6         3           getrandom
  0.00    0.000017          17         1           socket
  0.00    0.000016          16         1           munmap
  0.00    0.000016           8         2           rt_sigprocmask
  0.00    0.000016          16         1           bind
  0.00    0.000013           6         2           prlimit64
  0.00    0.000012           4         3           brk
  0.00    0.000011           5         2           sigaltstack
  0.00    0.000009           9         1           poll
  0.00    0.000009           9         1           sysinfo
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000008           8         1           listen
  0.00    0.000006           1         5           fstat
  0.00    0.000006           6         1           sched_getaffinity
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000006           6         1           set_robust_list
  0.00    0.000005           5         1           rseq
  0.00    0.000004           4         1           gettid
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.920719           9     94642        56 total
