% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 50.01    0.404366          48      8330           epoll_wait
 28.86    0.233324           7     31250           sendto
 11.87    0.096001           3     31301           recvfrom
  5.75    0.046502           7      6553           read
  1.58    0.012757          15       823           openat
  0.77    0.006246           7       876           close
  0.58    0.004664           5       818           statx
  0.24    0.001958          19       102        51 shutdown
  0.10    0.000836           5       154           epoll_ctl
  0.06    0.000465           8        54         3 accept4
  0.05    0.000434         434         1           execve
  0.04    0.000293          13        22           mmap
  0.03    0.000242           4        52           setsockopt
  0.01    0.000088           1        54           madvise
  0.01    0.000084          14         6           mprotect
  0.00    0.000040          20         2           lseek
  0.00    0.000033          16         2           open
  0.00    0.000032           6         5           fstat
  0.00    0.000015          15         1           munmap
  0.00    0.000015           5         3           brk
  0.00    0.000013           6         2           pread64
  0.00    0.000012          12         1           set_tid_address
  0.00    0.000009           9         1         1 access
  0.00    0.000009           9         1           sysinfo
  0.00    0.000009           4         2           prlimit64
  0.00    0.000008           2         3           prctl
  0.00    0.000008           2         3           getrandom
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000005           1         5           rt_sigaction
  0.00    0.000005           5         1           sched_getaffinity
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000004           4         1           poll
  0.00    0.000004           4         1           rseq
  0.00    0.000000           0         5           write
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         4           getpid
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ------------------
100.00    0.808492          10     80450        55 total
