% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 44.13    0.298760          34      8648         1 epoll_wait
 35.40    0.239645           7     31250           sendto
 14.88    0.100727           3     31301           recvfrom
  2.49    0.016860          19       858           read
  1.79    0.012094          14       854           openat
  0.87    0.005899           6       907           close
  0.19    0.001268          12       102        51 shutdown
  0.07    0.000451           2       154           epoll_ctl
  0.05    0.000364         364         1           execve
  0.04    0.000246          11        22           mmap
  0.03    0.000225           9        25           madvise
  0.01    0.000070          11         6           mprotect
  0.01    0.000053          26         2           lseek
  0.01    0.000044           0        56         5 accept4
  0.01    0.000039           7         5           fstat
  0.00    0.000031          15         2           open
  0.00    0.000023           0        52           setsockopt
  0.00    0.000022           7         3           brk
  0.00    0.000014          14         1           munmap
  0.00    0.000012           6         2           pread64
  0.00    0.000012           6         2           sigaltstack
  0.00    0.000012          12         1           sched_getaffinity
  0.00    0.000011           3         3           getrandom
  0.00    0.000010           2         5           rt_sigaction
  0.00    0.000010          10         1           sysinfo
  0.00    0.000010           3         3           prctl
  0.00    0.000010           5         2           prlimit64
  0.00    0.000008           8         1         1 access
  0.00    0.000007           7         1           poll
  0.00    0.000007           7         1           set_tid_address
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000005           5         1           gettid
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000005           5         1           rseq
  0.00    0.000000           0         5           write
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         4           getpid
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ------------------
100.00    0.676965           9     74290        58 total
