% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 68.40    0.223956           7     31250           sendto
 28.10    0.092008           2     31300           recvfrom
  1.84    0.006036           9       668           epoll_wait
  0.32    0.001036          10        98        49 shutdown
  0.27    0.000889           5       152           epoll_ctl
  0.20    0.000644          11        54         3 accept4
  0.20    0.000641          11        57           madvise
  0.16    0.000532           9        58           read
  0.16    0.000529           5       105           close
  0.11    0.000348           6        52           setsockopt
  0.09    0.000301           5        54           openat
  0.02    0.000072           3        22           mmap
  0.02    0.000060          12         5           write
  0.01    0.000047          23         2           lseek
  0.01    0.000039          19         2           open
  0.01    0.000029           5         5           rt_sigaction
  0.01    0.000024           6         4           getpid
  0.01    0.000024           8         3           getrandom
  0.01    0.000022           7         3           prctl
  0.01    0.000018          18         1           bind
  0.01    0.000017          17         1           munmap
  0.01    0.000017           8         2           rt_sigprocmask
  0.01    0.000017          17         1           socket
  0.01    0.000017           8         2           prlimit64
  0.00    0.000015           5         3           brk
  0.00    0.000013           6         2           sigaltstack
  0.00    0.000011          11         1           sysinfo
  0.00    0.000010          10         1           epoll_create1
  0.00    0.000009           1         6           mprotect
  0.00    0.000009           9         1           listen
  0.00    0.000007           7         1           poll
  0.00    0.000007           7         1           sched_getaffinity
  0.00    0.000006           6         1           gettid
  0.00    0.000005           1         5           fstat
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.327415           5     63931        53 total
