# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 5030567402
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                                 
# ........  ............  ................  .......................................................................................................................................................................................................................
#
     8.85%  frankenredis  frankenredis      [.] fr_store::canonical_string_value
            |          
            |--2.92%--<fr_store::Store>::drop_if_expired
            |          
             --2.06%--__memcmp_avx2_movbe

     8.02%  frankenredis  frankenredis      [.] <fr_store::Store>::set_plain_borrowed
            |          
            |--2.42%--<fr_store::Store>::drop_if_expired
            |          
             --2.11%--__memcmp_avx2_movbe

     2.43%  frankenredis  [unknown]         [k] 0xffffffff84c001bd
     2.24%  frankenredis  [vdso]            [.] 0x0000000000000983
            |          
             --0.63%--__memcmp_avx2_movbe

     1.64%  frankenredis  frankenredis      [.] fr_protocol::parse_command_args_borrowed_into
     1.43%  frankenredis  [unknown]         [k] 0xffffffff8546fd6a
     1.43%  frankenredis  frankenredis      [.] frankenredis::process_buffered_frames
     1.18%  frankenredis  [unknown]         [k] 0xffffffff84d04109
     1.12%  frankenredis  [unknown]         [k] 0xffffffff84f87bc0
     0.97%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind
     0.96%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_set_borrowed
     0.92%  frankenredis  [unknown]         [k] 0xffffffff85f2e332
     0.89%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates
     0.87%  frankenredis  [unknown]         [k] 0xffffffff84d0410b
     0.79%  frankenredis  libc.so.6         [.] __memcmp_avx2_movbe
     0.78%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_write_allows
     0.75%  frankenredis  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.74%  frankenredis  [unknown]         [k] 0xffffffff84d04104
     0.74%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession as core::default::Default>::default
     0.70%  frankenredis  [unknown]         [k] 0xffffffff8602f7fb
     0.56%  frankenredis  [unknown]         [k] 0xffffffff85835fd6
     0.53%  frankenredis  frankenredis      [.] frankenredis::main
     0.50%  frankenredis  [unknown]         [k] 0xffffffff8621f910
     0.49%  frankenredis  frankenredis      [.] mi_free
     0.48%  frankenredis  [unknown]         [k] 0xffffffff85f2e2da
     0.40%  frankenredis  [unknown]         [k] 0xffffffff8508352a
     0.40%  frankenredis  [unknown]         [k] 0xffffffffc0f923ed
     0.40%  frankenredis  [unknown]         [k] 0xffffffff86001802
     0.39%  frankenredis  libc.so.6         [.] __syscall_cancel
     0.38%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::pubsub_sub_count
     0.37%  frankenredis  [unknown]         [k] 0xffffffff84c00080
     0.36%  frankenredis  frankenredis      [.] <fr_runtime::ServerState>::run_active_expire_cycle
     0.35%  frankenredis  [unknown]         [k] 0xffffffff850b8f29
     0.35%  frankenredis  [unknown]         [k] 0xffffffff85ffba18
     0.33%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>
     0.32%  frankenredis  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.32%  frankenredis  [unknown]         [k] 0xffffffff85ef4072
     0.32%  frankenredis  frankenredis      [.] <fr_protocol::RespFrame>::encode_into
     0.31%  frankenredis  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>
     0.30%  frankenredis  frankenredis      [.] <fr_store::Store>::drop_if_expired
     0.28%  frankenredis  frankenredis      [.] _mi_page_malloc_zero
     0.25%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind
     0.25%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, foldhash::quality::RandomState>>::remove::<u64>
     0.24%  frankenredis  [unknown]         [k] 0xffffffff86011493
     0.24%  frankenredis  [unknown]         [k] 0xffffffff8623b8a0
     0.24%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::is_pubsub_client
     0.24%  frankenredis  [unknown]         [k] 0xffffffff851629e5
     0.24%  frankenredis  [unknown]         [k] 0xffffffff8513cf21
     0.23%  frankenredis  [unknown]         [k] 0xffffffff86001805
     0.22%  frankenredis  [unknown]         [k] 0xffffffff86001821
     0.22%  frankenredis  [unknown]         [k] 0xffffffff84f88cf0
     0.21%  frankenredis  [unknown]         [k] 0xffffffff8602eb12
     0.20%  frankenredis  frankenredis      [.] <fr_store::Store>::update_expiry_deadline
     0.19%  frankenredis  [unknown]         [k] 0xffffffff84c00005
     0.19%  frankenredis  [unknown]         [k] 0xffffffff8604ce72
     0.18%  frankenredis  frankenredis      [.] frankenredis::handle_readable
     0.18%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server
     0.18%  frankenredis  frankenredis      [.] fr_store::estimate_entry_memory_usage_bytes
     0.17%  frankenredis  frankenredis      [.] core::ptr::drop_in_place::<fr_store::Value>
     0.17%  frankenredis  [unknown]         [k] 0xffffffff85f2b285
     0.17%  frankenredis  [unknown]         [k] 0xffffffff86040239
     0.16%  frankenredis  [unknown]         [k] 0xffffffff850b8f3e
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85eff199
     0.16%  frankenredis  [unknown]         [k] 0xffffffff851965e6
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8603d10a
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85f2ae87
