% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 53.87    0.248117          13     18750           sendto
 22.15    0.102002           5     18800           recvfrom
 17.78    0.081866          13      5880         1 epoll_wait
  2.70    0.012444          21       586           read
  1.81    0.008343          14       582           openat
  0.86    0.003946           6       634           close
  0.20    0.000919           9       100        50 shutdown
  0.12    0.000561         561         1           execve
  0.12    0.000534           3       151           epoll_ctl
  0.08    0.000375           5        68           madvise
  0.08    0.000373           6        54         4 accept4
  0.07    0.000304          13        22           mmap
  0.03    0.000148           2        51           setsockopt
  0.02    0.000090          15         6           mprotect
  0.01    0.000053          10         5           write
  0.01    0.000049          24         2           lseek
  0.01    0.000043           8         5           rt_sigaction
  0.01    0.000041          20         2           open
  0.01    0.000036           7         5           fstat
  0.01    0.000028           9         3           prctl
  0.01    0.000025          25         1           socket
  0.01    0.000024           6         4           getpid
  0.00    0.000021           7         3           brk
  0.00    0.000020          20         1           munmap
  0.00    0.000020           6         3           getrandom
  0.00    0.000019          19         1           bind
  0.00    0.000018           9         2           rt_sigprocmask
  0.00    0.000014           7         2           sigaltstack
  0.00    0.000014           7         2           prlimit64
  0.00    0.000012          12         1           sysinfo
  0.00    0.000012          12         1           epoll_create1
  0.00    0.000011           5         2           pread64
  0.00    0.000010          10         1           listen
  0.00    0.000009           9         1         1 access
  0.00    0.000009           9         1           sched_getaffinity
  0.00    0.000008           8         1           poll
  0.00    0.000007           7         1           set_robust_list
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000006           6         1           gettid
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000006           6         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.460549          10     45739        56 total
