% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 63.14    0.296915          15     18750           sendto
 23.92    0.112498           5     18800           recvfrom
  9.07    0.042639          15      2751         1 epoll_wait
  1.35    0.006333          23       275           read
  0.93    0.004387          16       271           openat
  0.52    0.002460           7       323           close
  0.37    0.001724          17       100        50 shutdown
  0.18    0.000846           5       151           epoll_ctl
  0.13    0.000604           6        92           madvise
  0.12    0.000554          10        51         1 accept4
  0.08    0.000356         356         1           execve
  0.06    0.000289           5        51           setsockopt
  0.06    0.000262          11        22           mmap
  0.01    0.000056           9         6           mprotect
  0.01    0.000037           7         5           write
  0.01    0.000032           6         5           fstat
  0.01    0.000032          16         2           lseek
  0.01    0.000030          15         2           open
  0.01    0.000025           5         5           rt_sigaction
  0.00    0.000021           7         3           prctl
  0.00    0.000017           4         4           getpid
  0.00    0.000014          14         1           munmap
  0.00    0.000014          14         1           socket
  0.00    0.000013           6         2           pread64
  0.00    0.000013          13         1           bind
  0.00    0.000013           4         3           getrandom
  0.00    0.000012           4         3           brk
  0.00    0.000010           5         2           rt_sigprocmask
  0.00    0.000009           9         1           sysinfo
  0.00    0.000008           8         1         1 access
  0.00    0.000007           3         2           sigaltstack
  0.00    0.000007           7         1           epoll_create1
  0.00    0.000007           3         2           prlimit64
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000006           6         1           rseq
  0.00    0.000005           5         1           poll
  0.00    0.000005           5         1           listen
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000005           5         1           set_robust_list
  0.00    0.000004           4         1           gettid
  0.00    0.000004           4         1           sched_getaffinity
------ ----------- ----------- --------- --------- ------------------
100.00    0.470284          11     41698        53 total
